work_id,title,doi,year,venue,cited_by_count,n_references,stage1_status,stage1_reason,stage2_status,stage2_reason
WOS:001631323000001,DG-ViT: a density-guided dual-stream vision transformer for wafer defect; detection,10.1088/1361-6501/ae234a,2025,MEASUREMENT SCIENCE AND TECHNOLOGY,0,35,include,,include,
WOS:001451808000001,MLR-WM-ViT: Global high-performance classification of mixed-type wafer; map defect using a multi-level relay Vision Transformer,10.1016/j.eswa.2025.127121,2025,EXPERT SYSTEMS WITH APPLICATIONS,6,58,include,,include,
WOS:001244136600001,A new ViT-Based augmentation framework for wafer map defect; classification to enhance the resilience of semiconductor supply chains,10.1016/j.ijpe.2024.109275,2024,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,19,35,include,,include,
WOS:001517345700044,Integrating CNN and Transformer for efficient lithography hotspot; detection,10.1117/12.3050227,2025,DTCO AND COMPUTATIONAL PATTERNING IV,2,19,include,,include,
WOS:001559160300135,MF-VIT: Lithography Hotspot Detection Based on Multi-scale Feature and; Vision Transformer,10.1109/ISEDA65950.2025.11100544,2025,"2025 INTERNATIONAL SYMPOSIUM OF ELECTRONICS DESIGN AUTOMATION, ISEDA",0,22,include,,include,
WOS:001596864800022,Enhancing Wafer Probing With SwinProbeFormer: Self-Supervised Anomaly; Detection via Window-Based Swin Transformer,10.1109/ACCESS.2025.3611966,2025,IEEE ACCESS,0,37,include,,include,
WOS:001208695800013,SwinT-ILT: Swin Transformer embedding end-to-end mask optimization model,10.1117/1.JMM.23.1.013201,2024,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,4,19,include,,include,
WOS:001219576300015,Class Imbalance Wafer Defect Pattern Recognition Based on; Shared-Database Decentralized Federated Learning Framework,10.1109/TIM.2024.3395316,2024,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,18,62,include,,include,
WOS:001596535300002,A confident learning-based coordinate attention-guided fusion vision; transformer for mixed-type wafer map defect detection,10.1016/j.compind.2025.104391,2025,COMPUTERS IN INDUSTRY,0,100,include,,include,
WOS:001433407800024,A Few-Shot Open-Circuit Fault Diagnosis of F-Type Inverters Using; CGAN-Based Vision Transformer,10.1109/JESTPE.2024.3478378,2025,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,6,52,include,,include,
WOS:001654113500008,SwinTransILT: a physics-aware Swin Vision transformer for inverse; lithographic mask optimization,10.1117/1.JMM.24.4.044203,2025,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,0,32,include,,include,
WOS:001600047600018,PF2A-ViT: Parameter-Free and Feature-Aware Dynamic Token; Pruning Accelerator With Complementary Quantization-Encoding for Vision; Transformer,10.1109/TCAD.2025.3565468,2025,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND; SYSTEMS,0,49,include,,include,
WOS:001631886900013,A Real-Time Operator-Centric Patch Extraction and Analysis Platform for; Industrial Semiconductor Wafer C&C Processes,10.1109/ACCESS.2025.3638806,2025,IEEE ACCESS,0,30,include,,include,
WOS:001420963300007,SCSNet: a novel transformer-CNN fusion architecture for enhanced; segmentation and classification on high-resolution semiconductor; micro-scale defects,10.1007/s10489-024-06122-5,2025,APPLIED INTELLIGENCE,3,43,include,,include,
WOS:001215683300083,A NOVEL QUALITY CLUSTERING METHODOLOGY ON FAB-WIDE WAFER MAP IMAGES IN; SEMICONDUCTOR MANUFACTURING,,2022,"PROCEEDINGS OF ASME 2022 17TH INTERNATIONAL MANUFACTURING SCIENCE AND; ENGINEERING CONFERENCE, MSEC2022, VOL 2",2,27,include,,include,
WOS:001501825800001,Semi-Supervised Vision Transformer Framework for AI-Based RHEED Image; Classification of Ferroelectric Nitride MBE Growth,10.1021/acs.cgd.5c00179,2025,CRYSTAL GROWTH & DESIGN,1,31,include,,include,
WOS:001514426300106,A ViT-Based Approach for Enhanced Defect Classification in Nano-Ridge; Engineering Using Multi-Resolution Images,10.1117/12.3052289,2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",0,30,include,,include,
WOS:001178135100015,Automatic Solder Defect Detection in Electronic Components Using; Transformer Architecture,10.1109/TCPMT.2023.3344096,2024,IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING TECHNOLOGY,17,34,include,,include,
WOS:001392737100014,Layout Congestion Prediction Based on Regression-ViT,10.1145/3698196,2025,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2,39,include,,include,
WOS:001182049500002,A novel joint segmentation approach for wafer surface defect; classification based on blended network structure,10.1007/s10845-024-02324-3,2025,JOURNAL OF INTELLIGENT MANUFACTURING,7,26,include,,include,
WOS:001652289700001,Deep learning-enabled fault diagnosis with vision transformers and; domain-informed data augmentation for advanced quality control in; semiconductor manufacturing,10.1016/j.asoc.2025.114480,2026,APPLIED SOFT COMPUTING,0,55,include,,include,
WOS:001552197400033,Semiconductor SEM Image Defect Classification Using Supervised and Semi-; Supervised Learning with Vision Transformers (Topic/category: Defect; Inspection and Reduction),10.1109/ASMC64512.2025.11010396,2025,"2025 36TH ANNUAL SEMI ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE,; ASMC",0,10,include,,include,
WOS:001428729200001,Enhancing resolution uniformity of spectral line confocal 3D sensors; through integration of vision transformer with perpendicular; attention-augmented parallel convolutional neural networks,10.1016/j.measurement.2025.116980,2025,MEASUREMENT,0,22,include,,include,
WOS:001161724400001,Deep Learning-Based Integrated Circuit Surface Defect Detection:; Addressing Information Density Imbalance for Industrial Application,10.1007/s44196-024-00423-w,2024,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,15,36,include,,include,
WOS:001429080300001,BLADE: Energy-efficient attention accelerator with fused kernel and; bit-level redundancy elimination,10.1049/ell2.70137,2025,ELECTRONICS LETTERS,0,20,include,,include,
WOS:001558390000001,Improved WTCN-Informer Model Based on Frequency-Enhanced Channel; Attention Mechanism and Wavelet Convolution: Prediction of Remaining; Service Life of Ion Etcher Cooling System,10.3390/s25164883,2025,SENSORS,0,56,include,,include,
WOS:001297875600069,Performance Comparison of Convolutional and Transformer Neural Networks; in Defect Classification for Industrial Images,10.1109/ECTI-CON60892.2024.10594916,2024,"2024 21ST INTERNATIONAL CONFERENCE ON ELECTRICAL; ENGINEERING/ELECTRONICS, COMPUTER, TELECOMMUNICATIONS AND INFORMATION; TECHNOLOGY, ECTI-CON 2024",1,18,include,,include,
WOS:001582397500001,Long-tailed detection and classification of wafer defects from scanning; electron microscope images robust to diverse image backgrounds and; defect scales,10.1016/j.engappai.2025.112342,2025,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0,80,include,,include,
WOS:001514426300068,Die-to-Prompt: Visual language model-based defect inspection and anomaly; detection,10.1117/12.3052174,2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",0,6,include,,include,
WOS:001098109400001,Shape prior guided defect pattern classification and segmentation in; wafer bin maps,10.1007/s10845-023-02242-w,2025,JOURNAL OF INTELLIGENT MANUFACTURING,3,38,include,,include,
WOS:001195590600001,UnionMixup and Max-Min-Saliency Mixup for Mixed-type Defect Recognition; of Wafer Bin Maps,10.1587/elex.21.20240054,2024,IEICE ELECTRONICS EXPRESS,1,33,include,,include,
WOS:001514426300012,GenAI Applications of Vision-Language Models for Semiconductor Defect; Classification,10.1117/12.3064772,2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",0,23,include,,include,
WOS:001484761300001,Warpage prediction of fan-out wafer-level package based on coupled deep; learning and finite element simulation,10.1016/j.microrel.2025.115759,2025,MICROELECTRONICS RELIABILITY,6,34,include,,include,
WOS:001559160300130,Unsupervised Defect Detection Based on Self-Supervised Transformers,10.1109/ISEDA65950.2025.11100828,2025,"2025 INTERNATIONAL SYMPOSIUM OF ELECTRONICS DESIGN AUTOMATION, ISEDA",0,7,include,,include,
WOS:001596652300095,When Transformer Meets Layout Hotspot: An End-to-End Transformer-based; Detector with Prior Lithography,10.1145/3716368.3735160,2025,"PROCEEDINGS OF THE GREAT LAKES SYMPOSIUM ON VLSI 2025, GLSVLSI 2025",0,18,include,,include,
WOS:001424943400022,Vision Transformers for Counterfeit IC Detection,10.1109/PAINE62042.2024.10792793,2024,"2024 IEEE PHYSICAL ASSURANCE AND INSPECTION OF ELECTRONICS, PAINE 2024",2,25,include,,include,
WOS:001532189500063,Automatic Defect Fatality Analysis and Killer-defect Identification; System Based on Deep Learning,10.1109/CSTIC64481.2025.11017877,2025,"2025 CONFERENCE OF SCIENCE AND TECHNOLOGY OF INTEGRATED CIRCUITS, CSTIC",0,27,include,,include,
WOS:001194463000001,Universal Deoxidation of Semiconductor Substrates Assisted by Machine; Learning and Real-Time Feedback Control,10.1021/acsami.4c01765,2024,ACS APPLIED MATERIALS & INTERFACES,4,59,include,,include,
WOS:001342997100001,Lightweight Hotspot Detection Model Fusing SE and ECA Mechanisms,10.3390/mi15101217,2024,MICROMACHINES,3,34,include,,include,
WOS:001259324800001,DeepSEM-Net: Enhancing SEM defect analysis in semiconductor; manufacturing with a dual-branch CNN-Transformer architecture,10.1016/j.cie.2024.110301,2024,COMPUTERS & INDUSTRIAL ENGINEERING,16,36,include,,include,
WOS:001339844800091,C-TransNet: Automatic Classification Network for Nanoscale Wafer SEM; Defects,10.1109/IPFA61654.2024.10691180,2024,"2024 IEEE INTERNATIONAL SYMPOSIUM ON THE PHYSICAL AND FAILURE ANALYSIS; OF INTEGRATED CIRCUITS, IPFA 2024",2,11,include,,include,
WOS:001496920600004,Vision transformers on the edge: A comprehensive survey of model; compression and acceleration strategies,10.1016/j.neucom.2025.130417,2025,NEUROCOMPUTING,16,159,include,,include,
WOS:001291294600229,An end-to-end wafer map defect recognition model,10.1109/ICCEA62105.2024.10603564,2024,"2024 5TH INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND; APPLICATION, ICCEA 2024",1,18,include,,include,
WOS:001346503100045,LithoPW: Leveraging Visual Memory Encoding and Defect-Aware Optimization; for Precise Determination of the Lithography Process Windows,10.1109/TCSVT.2024.3395274,2024,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,8,46,include,,include,
WOS:001489640700006,Deep Learning Hybrid Architecture Based on Vision Transformer for Phase; Analysis of Moire Fringes,10.1109/JPHOT.2025.3562542,2025,IEEE PHOTONICS JOURNAL,2,30,include,,include,
WOS:001378122500020,Stealing the Invisible: Unveiling Pre-Trained CNN Models Through; Adversarial Examples and Timing Side-Channels,10.1109/JETCAS.2024.3485133,2024,IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,1,62,include,,include,
WOS:000887271100001,Insulated Gate Bipolar Transistor Solder Layer Defect Detection Research; Based on Improved YOLOv5,10.3390/app122211469,2022,APPLIED SCIENCES-BASEL,3,46,include,,include,
WOS:000556820100015,"1-W, High-Gain, High-Efficiency, and Compact Sub-GHz Linear Power; Amplifier Employing a 1:1 Transformer Balun in 180-nm CMOS",10.1109/LMWC.2020.3002234,2020,IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,10,8,include,,include,
WOS:001476945200131,DefectTrackNet: Efficient Root Cause Analysis of Wafer Defects in; Semiconductor Manufacturing Using a Lightweight CNN-Transformer; Architecture,10.1145/3658617.3697608,2025,"30TH ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC 2025",0,27,include,,include,
WOS:001461675500003,COFA: counterfactual attention framework for trustworthy wafer map; failure classification,10.1007/s10489-025-06488-0,2025,APPLIED INTELLIGENCE,1,47,include,,include,
WOS:000869653600001,Multi-scale GAN with transformer for surface defect inspection of IC; metal packages,10.1016/j.eswa.2022.118788,2023,EXPERT SYSTEMS WITH APPLICATIONS,22,50,include,,include,
WOS:001210608700001,Ultra-Wideband Transformer Feedback Monolithic Microwave Integrated; Circuit Power Amplifier Design on 0.25 μm GaN Process,10.3390/mi15040546,2024,MICROMACHINES,0,34,include,,include,
WOS:001410586700004,Self-Supervised Siamese Transformer for Surface Defect Segmentation in; Diamond-Wire-Sawn Mono-Crystalline Silicon Wafers,10.1109/TIM.2025.3527594,2025,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,1,53,include,,include,
WOS:001432345700001,Research on Acceleration Algorithm for Source Measurement Unit Based on; BA-Informer,10.3390/electronics14040698,2025,ELECTRONICS,0,43,include,,include,
WOS:001481122200211,Evaluating Visual Transformers for Wafer Defect Detection: a Feasibility; Study,10.1109/SOUTHEASTCON56624.2025.10971529,2025,SOUTHEASTCON 2025,3,23,include,,include,
WOS:000803112900028,Mixed-Type Wafer Defect Recognition With Multi-Scale Information Fusion; Transformer,10.1109/TSM.2022.3156583,2022,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,38,30,include,,include,
WOS:001439325400001,A lightweight Hardware Trojan detection approach in the waveform diagram; based on MobileViT and attention mechanism,10.1007/s11227-025-07080-6,2025,JOURNAL OF SUPERCOMPUTING,2,54,include,,include,
WOS:001459295900002,Vision transformer based deep learning of topological indicators in; Majorana nanowires,10.1103/PhysRevB.111.104208,2025,PHYSICAL REVIEW B,5,49,include,,include,
WOS:000398060500003,Integrated isolation functions for driving power semiconductor devices,10.1080/09398368.2016.1260259,2016,EPE JOURNAL,0,14,include,,include,
WOS:001525827100001,A novel industrial thermoelectric cooler component defect vision; transformer detector based on local and global features fusion,10.1016/j.patrec.2025.06.022,2025,PATTERN RECOGNITION LETTERS,1,36,include,,include,
WOS:001341810000001,Detection and Prediction of Probe Mark Damage in Wafer Testing,10.3390/electronics13204075,2024,ELECTRONICS,2,36,include,,include,
WOS:000557902200004,Scott Connection Transformer Analysis in the Railway Traction System; Using the Simulation Program with Integrated Circuit Emphasis Model,10.1109/peds44367.2019.8998760,2019,2019 IEEE 13TH INTERNATIONAL CONFERENCE ON POWER ELECTRONICS AND DRIVE; SYSTEMS (PEDS),1,8,include,,include,
WOS:000458786800024,Mode-evolution-based silicon-on-insulator 3 dB coupler using fast; quasiadiabatic dynamics,10.1364/OL.44.000815,2019,OPTICS LETTERS,42,24,include,,include,
WOS:001529799400001,Advanced virtual metrology using distribution alignment loss for; practical quality control,10.1080/00207543.2025.2532147,2025,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,1,50,include,,include,
WOS:000419107600008,Space transformer connector characterization for a wafer test system,,2017,INFORMACIJE MIDEM-JOURNAL OF MICROELECTRONICS ELECTRONIC COMPONENTS AND; MATERIALS,1,6,include,,include,
WOS:001350762100035,EASTER: Learning to Split Transformers at the Edge Robustly,10.1109/TCAD.2024.3438995,2024,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND; SYSTEMS,3,39,include,,include,
WOS:000731147400023,Direct-Drive Oscillation of KrF Excimer Laser Using Pulsed Power; Generator Based on LTD,10.1109/TPS.2021.3128225,2021,IEEE TRANSACTIONS ON PLASMA SCIENCE,7,9,include,,include,
WOS:001439559300012,Optimization and Validation of Wafer Surface Defect Detection Algorithm; Based on RT-DETR,10.1109/ACCESS.2025.3543525,2025,IEEE ACCESS,5,22,include,,include,
WOS:001492213800023,Dual Multimodal Fusions With Convolution and Transformer Layers for VLSI; Congestion Prediction,10.1109/TCAD.2024.3522199,2025,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND; SYSTEMS,3,36,include,,include,
WOS:000670545500013,2.6-GHz Integrated LDMOS Doherty Power Amplifier for 5G Basestation; Applications,10.1109/LMWC.2021.3078699,2021,IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,8,20,include,,include,
WOS:000370285100154,Fully 3-D Symmetrical TSV Monolithic Transformer for RFIC,,2015,2015 IEEE 65TH ELECTRONIC COMPONENTS AND TECHNOLOGY CONFERENCE (ECTC),7,7,include,,include,
WOS:001514426300078,Metrology and Segmentation in SEM/TEM Imaging: Accelerating; Semiconductor Analysis through Advanced Deep Learning Techniques,10.1117/12.3051067,2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",1,29,include,,include,
WOS:001531892500001,Impact of Discharge Optical Pulses in Gas Switches on Photoconductive; Semiconductor Switch Conduction,10.1109/TPS.2025.3584467,2025,IEEE TRANSACTIONS ON PLASMA SCIENCE,0,22,include,,include,
WOS:001392871400001,Multi-scale guidance diffusion network for wafer map defect recognition,10.1016/j.eswa.2024.126134,2025,EXPERT SYSTEMS WITH APPLICATIONS,7,45,include,,include,
WOS:000519133900007,Compact 2-18 GHz on-chip balun based on centrosymmetric spiral; transformers,10.1049/el.2019.3253,2020,ELECTRONICS LETTERS,3,9,include,,include,
WOS:001654113500009,UC-ILT: U-Net with Ctrans inverse lithography techniques,10.1117/1.JMM.24.4.043203,2025,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,0,24,include,,include,
WOS:000832143902059,Design and Analysis of a Fully-integrated Planar Transformer for LCLC; Resonant Converters,,2021,2021 23RD EUROPEAN CONFERENCE ON POWER ELECTRONICS AND APPLICATIONS; (EPE'21 ECCE EUROPE),6,22,include,,include,
WOS:001547226300003,FRED: A Wafer-scale Fabric for 3D Parallel DNN Training,10.1145/3695053.3731055,2025,"PROCEEDINGS OF THE 52ND ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER; ARCHITECTURE, ISCA 2025",0,64,include,,include,
WOS:001628542600001,Dynamic scheduling of wafer batch processing machines via reinforcement; learning enhanced by expert-guided lightweight LLM,10.1080/00207543.2025.2582768,2026,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,0,44,include,,include,
WOS:000381391600030,Semiconductor converter for field magnets of hydromounts with a; magnetorheological transformer,10.1109/PICC.2015.7455774,2015,"PROCEEDINGS OF 2015 IEEE INTERNATIONAL CONFERENCE ON POWER,; INSTRUMENTATION, CONTROL AND COMPUTING (PICC)",5,5,include,,include,
WOS:001582356400001,Design of Two Novel Impedance-Transforming Baluns Based on Transformer; and Autotransformer for RF Integrated Circuits,10.1109/TMTT.2025.3610336,2025,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,1,29,include,,include,
WOS:001350220800001,A reinforcement learning-based approach for solving multi-agent job shop; scheduling problem,10.1080/00207543.2024.2423807,2025,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,9,80,include,,include,
WOS:000800559502012,Soft-Sensing ConFormer: A Curriculum Learning-based Convolutional; Transformer,10.1109/BigData52589.2021.9671991,2021,2021 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),6,30,include,,include,
WOS:001548845800005,Phys-trans FPM: a real-time nanometer solution for industrial circuit; inspection using reflective Fourier ptychographic microscopy,10.1016/j.measurement.2025.118459,2025,MEASUREMENT,1,35,include,,include,
WOS:001329243300111,Design and Simulation of a 1:4 Balun Using Transformer and; Autotransformer,10.1109/ICMMT61774.2024.10671746,2024,"2024 INTERNATIONAL CONFERENCE ON MICROWAVE AND MILLIMETER WAVE; TECHNOLOGY, ICMMT",0,10,include,,include,
WOS:000542960100015,A V-Band CMOS Low-DC-Power Wide-Locking-Range Divide-by-6; Injection-Locked Frequency Divider Using Transformer Coupling,10.1109/LMWC.2020.2992107,2020,IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,9,21,include,,include,
WOS:000426937500033,Characterizing Chip's Behavior of HF RFID Cards during Load Modulation,,2017,2017 IEEE INTERNATIONAL CONFERENCE ON RFID TECHNOLOGY & APPLICATION; (RFID-TA),4,9,include,,include,
WOS:001379033900001,A high-efficiency transformer-in-package isolated DC-DC converter using; glass-based fan-out wafer-level packaging,10.1016/j.fmre.2023.05.003,2024,FUNDAMENTAL RESEARCH,1,29,include,,include,
WOS:000670611600138,Micromachined air core meander transformer for on-chip wireless high; frequency applications,,2021,PROCEEDINGS OF 2021 INTERNATIONAL BHURBAN CONFERENCE ON APPLIED SCIENCES; AND TECHNOLOGIES (IBCAST),4,29,include,,include,
WOS:000845533700001,Deep Learning-Based Remaining Useful Life Prediction Method with; Transformer Module and Random Forest,10.3390/math10162921,2022,MATHEMATICS,16,38,include,,include,
WOS:001437232300001,Pathways and characteristics of water vapor-to-ice transformation on; SiO2 surfaces,10.1016/j.ijheatmasstransfer.2025.126811,2025,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,0,60,include,,include,
WOS:000800559505111,An Ensemble of Transformer and LSTM Approach for Multivariate Time; Series Data Classification,10.1109/BigData52589.2021.9671632,2021,2021 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),3,16,include,,include,
WOS:000380392800037,Noise Modelling in LNAs with Negative Feedback Transformer Matching,,2015,2015 GERMAN MICROWAVE CONFERENCE,1,5,include,,include,
WOS:000349623300014,Transformer-Feedback Interstage Bandwidth Enhancement for MMIC; Multistage Amplifiers,10.1109/TMTT.2014.2383400,2015,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,67,32,include,,include,
WOS:000366654400309,A Fast-speed Transformer Matching Method with Additional Capacitors in; CMOS Process,,2015,2015 IEEE 15TH INTERNATIONAL CONFERENCE ON ENVIRONMENT AND ELECTRICAL; ENGINEERING (IEEE EEEIC 2015),0,9,include,,include,
WOS:001644685600016,Impedance-engineered Josephson parametric amplifier with single-step; lithography,10.1063/5.0290636,2025,APPLIED PHYSICS LETTERS,0,32,include,,include,
WOS:001589986200011,Research on the Leakage Inductance Optimization of Multiwinding; Transformers Applied to Four-Port Converters,10.1109/JESTPE.2025.3583478,2025,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,2,26,include,,include,
WOS:000966153600001,Construction and Experimental Realization of the Fractional-Order; Transformer by Oustaloup Rational Approximation Method,10.1109/TCSII.2022.3225400,2023,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,10,16,include,,include,
