work_id,title,doi,year,publication_date,venue,cited_by_count,n_references,stage1_status,stage1_reason,stage2_status,stage2_reason
WOS:000166095700008,Pyrogenic signaling via vagal afferents: what stimulates their receptors?,10.1016/S1566-0702(00)00221-6,2000,DEC 20,AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL,21,59,include,,include,
WOS:000089202500018,Circulating interleukin-6 mediates the febrile response to localised inflammation in rats,10.1111/j.1469-7793.2000.00653.x,2000,AUG 1,JOURNAL OF PHYSIOLOGY-LONDON,165,51,include,,include,
WOS:000086680000006,Radiosynthesis of 3 '-deoxy-3 '-[F-18]fluorothymidine: [F-18]FLT for imaging of cellular proliferation in vivo,10.1016/S0969-8051(99)00104-3,2000,FEB 15,NUCLEAR MEDICINE AND BIOLOGY,178,42,include,,include,
WOS:000165604600038,In-field and out-of-field effects in partial volume lung irradiation in rodents: Possible correlation between early dna damage and functional endpoints,10.1016/S0360-3016(00)00802-6,2000,DEC 1,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,37,14,include,,include,
WOS:000087048900012,O-(2-[F-18]fluoroethyl)-L-tyrosine and L-[methyl-C-11]methionine uptake in brain tumours: initial results of a comparative study,10.1007/s002590050541,2000,MAY 15,EUROPEAN JOURNAL OF NUCLEAR MEDICINE,316,35,include,,include,
WOS:000166249600006,Stromelysin-3 expression in invasive ovarian carcinomas and tumours of low malignant potential,10.1007/s004280000261,2000,DEC 15,VIRCHOWS ARCHIV-AN INTERNATIONAL JOURNAL OF PATHOLOGY,24,35,include,,include,
WOS:000088732500007,Novel immunogenicity of Thomsen-Friedenreich disaccharide obtained by a molecular rotation on its carrier linkage,10.1093/glycob/10.8.781,2000,AUG 15,GLYCOBIOLOGY,8,52,include,,include,
WOS:000086130500010,Modulation of cytokine production by interferential current in differentiated HL-60 cells,10.1002/(SICI)1521-186X(200004)21:3<238::AID-BEM10>3.0.CO;2-Y,2000,APR 15,BIOELECTROMAGNETICS,10,23,include,,include,
WOS:000086054100008,"Telomerase reverse transcriptase expression is increased early in the Barrett's metaplasia, dysplasia, adenocarcinoma sequence",10.1016/S1091-255X(00)80049-9,2000,MAR-APR 15,JOURNAL OF GASTROINTESTINAL SURGERY,207,73,include,,include,
WOS:000088410200041,Simplified labeling approach for synthesizing 3 '-deoxy-3 '-[F-18]fluorothymidine ([F-18]FLT),10.1023/A:1010684101509,2000,MAR 15,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,169,5,include,,include,
WOS:000089955000008,"Synthesis of 3 '-deoxy-3 '-[F-18]fluoro-thymidine with 2,3 '-anhydro-5 '-O-(4,4 '-dimethoxytrityl)thymidine",10.1002/1099-1344(20001030)43:12<1211::AID-JLCR408>3.0.CO;2-#,2000,OCT 30,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,36,7,include,,include,
WOS:000167099500003,Power frequency magnetic field exposure and gap junctional communication in Clone 9 cells,10.1016/S0302-4598(99)00085-9,2000,JUN 15,BIOELECTROCHEMISTRY,10,35,include,,include,
WOS:000088260100003,Non-invasive measurement of cell membrane associated proton gradients by ion-sensitive field effect transistor arrays for microphysiological and bioelectronical applications,10.1016/S0956-5663(00)00065-8,2000,JUN 15,BIOSENSORS & BIOELECTRONICS,90,30,include,,include,
