work_id,title,authors,year,journal,doi,doc_type,cited_by_count
WOS:000485747300037,A Unitized Multiwinding Transformer-Based Equalization Method for Series-Connected Battery Strings,"Li, Y Xu, J Mei, XS Wang, JP",2019,IEEE TRANSACTIONS ON POWER ELECTRONICS,10.1109/TPEL.2019.2910205,Article,87
WOS:000686884300071,Unified Models for Coupled Inductors Applied to Multiphase PWM Converters,"Chen, MJ Sullivan, CR",2021,IEEE TRANSACTIONS ON POWER ELECTRONICS,10.1109/TPEL.2021.3088083,Article,76
WOS:001537081400001,"Artificial Intelligence for Materials Discovery, Development, and Optimization","Madika, B Saha, A Kang, C Buyantogtokh, B Agar, J Wolverton, CM Voorhees, P Littlewood, P Kalinin, S Hong, SB",2025,ACS NANO,10.1021/acsnano.5c04200,Review,59
WOS:000803112900028,Mixed-Type Wafer Defect Recognition With Multi-Scale Information Fusion Transformer,"Wei, YX Wang, H",2022,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,10.1109/TSM.2022.3156583,Article,38
WOS:001459669000018,MDNet: Mamba-Effective Diffusion-Distillation Network for RGB-Thermal Urban Dense Prediction,"Zhou, WJ Wu, HP Jiang, QP",2025,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,10.1109/TCSVT.2024.3508058,Article,38
WOS:001144015500015,Knowing What it is: Semantic-Enhanced Dual Attention Transformer,"Ma, YW Ji, JY Sun, XS Zhou, YY Wu, YJ Huang, FY Ji, RR",2023,IEEE TRANSACTIONS ON MULTIMEDIA,10.1109/TMM.2022.3164787,Article,33
WOS:000908711600057,An FPGA-Based Transformer Accelerator Using Output Block Stationary Dataflow for Object Recognition Applications,"Zhao, ZY Cao, RJ Un, KF Yu, WH Mak, PI Martins, RP",2023,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,10.1109/TCSII.2022.3196055,Article,29
WOS:001280261300001,Sparse Self-Attentive Transformer With Multiscale Feature Fusion on Long-Term SOH Forecasting,"Zhu, XS Xu, CQ Song, TB Huang, Z Zhang, Y",2024,IEEE TRANSACTIONS ON POWER ELECTRONICS,10.1109/TPEL.2024.3395180,Article,28
WOS:000869653600001,Multi-scale GAN with transformer for surface defect inspection of IC metal packages,"Chen, KQ Cai, N Wu, ZS Xia, H Zhou, S Wang, H",2023,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2022.118788,Article,22
WOS:000578640400001,Using Lumped Element Equivalent Network Model to Derive Analytical Equations for Interpretation of Transformer Frequency Responses,"Cheng, BZ Wang, ZD Crossley, P",2020,IEEE ACCESS,10.1109/ACCESS.2020.3027798,Article,22
WOS:001244136600001,A new ViT-Based augmentation framework for wafer map defect classification to enhance the resilience of semiconductor supply chains,"Fan, SKS Chiu, SH",2024,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,10.1016/j.ijpe.2024.109275,Article,19
WOS:001178180500005,Mixup-Based Neural Network for Image Restoration and Structure Prediction From SEM Images,"Park, J Cho, Y Hwang, Y Ma, A Kim, Q Chang, KB Jeong, J Kang, SJ",2024,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,10.1109/TIM.2024.3366569,Article,19
WOS:001219576300015,Class Imbalance Wafer Defect Pattern Recognition Based on Shared-Database Decentralized Federated Learning Framework,"Zhang, Y Lan, RK Li, XH Fang, JZ Ping, ZW Liu, WB Wang, ZD",2024,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,10.1109/TIM.2024.3395316,Article,18
WOS:001178135100015,Automatic Solder Defect Detection in Electronic Components Using Transformer Architecture,"Liu, YL Wu, H",2024,IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING TECHNOLOGY,10.1109/TCPMT.2023.3344096,Article,17
WOS:000981574300123,LayouTransformer: Generating Layout Patterns with Transformer via Sequential Pattern Modeling,"Wen, L Zhu, Y Ye, L Chen, G Yu, B Liu, J Xu, C",2022,"2022 IEEE/ACM INTERNATIONAL CONFERENCE ON COMPUTER AIDED DESIGN, ICCAD",10.1145/3508352.3549350,Proceedings Paper,17
WOS:001259324800001,DeepSEM-Net: Enhancing SEM defect analysis in semiconductor manufacturing with a dual-branch CNN-Transformer architecture,"Qiao, YB Mei, ZZZ Luo, YN Chen, YN",2024,COMPUTERS & INDUSTRIAL ENGINEERING,10.1016/j.cie.2024.110301,Article,16
WOS:001496920600004,Vision transformers on the edge: A comprehensive survey of model compression and acceleration strategies,"Saha, S Xu, LY",2025,NEUROCOMPUTING,10.1016/j.neucom.2025.130417,Article,16
WOS:000845533700001,Deep Learning-Based Remaining Useful Life Prediction Method with Transformer Module and Random Forest,"Zhao, LF Zhu, YF Zhao, TY",2022,MATHEMATICS,10.3390/math10162921,Article,16
WOS:001123254100054,DevelSet: Deep Neural Level Set for Instant Mask Optimization,"Chen, GJ Yu, ZY Liu, HD Ma, YZ Yu, B",2023,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,10.1109/TCAD.2023.3286262,Article,16
WOS:001161724400001,Deep Learning-Based Integrated Circuit Surface Defect Detection: Addressing Information Density Imbalance for Industrial Application,"Wang, XB Gao, S Guo, JL Wang, C Xiong, LP Zou, YT",2024,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,10.1007/s44196-024-00423-w,Article,15
WOS:001068976200001,An Efficient Training Accelerator for Transformers With Hardware-Algorithm Co-Optimization,"Shao, HK Lu, JM Wang, MQ Wang, ZF",2023,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,10.1109/TVLSI.2023.3305569,Article,13
WOS:001457758000014,State of Health Estimation for Lithium-Ion Batteries Using Separable LogSparse Self-Attention Transformer,"Chen, TP Zhang, C Jing, WZ Foo, EYS Lai, X Zeng, NY",2025,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,10.1109/TIM.2025.3552877,Article,12
WOS:001338112400004,Fault Diagnosis Strategy for Flight Control Rudder Circuit Based on SHAP Interpretable Analysis Optimization Transformer With Attention Mechanism,"Li, Y Liu, ZB Jia, Z Zhao, W Wang, K Qin, XS",2024,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,10.1109/TIM.2024.3470041,Article,10
WOS:001350220800001,A reinforcement learning-based approach for solving multi-agent job shop scheduling problem,"Dong, ZR Ren, T Qi, F Weng, JC Bai, DY Yang, J Wu, CC",2025,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,10.1080/00207543.2024.2423807,Article,9
WOS:000577982400043,"Rigorous Modal Circuit Synthesis Including Modal Coupling for Linear, Time-Invariant, and Passive Electromagnetic Systems","Südekum, S Leone, M",2020,IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,10.1109/TEMC.2019.2948099,Article,9
WOS:001346503100045,LithoPW: Leveraging Visual Memory Encoding and Defect-Aware Optimization for Precise Determination of the Lithography Process Windows,"Shen, JW Lyu, S Lu, Y",2024,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,10.1109/TCSVT.2024.3395274,Article,8
WOS:001469396200048,A Lightweight and Term-Arbitrary Memory Network for Remaining Useful Life Prediction of Li-Ion Battery,"Bao, ZY Luo, TT Gao, MY He, ZW Gao, KJ Nie, JH",2025,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,10.1109/TIM.2025.3556835,Article,8
WOS:001182049500002,A novel joint segmentation approach for wafer surface defect classification based on blended network structure,"Mei, ZZZ Luo, YN Qiao, YB Chen, YN",2025,JOURNAL OF INTELLIGENT MANUFACTURING,10.1007/s10845-024-02324-3,Article,7
WOS:001392871400001,Multi-scale guidance diffusion network for wafer map defect recognition,"Long, ZX Yan, JD Piao, MH",2025,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2024.126134,Article,7
WOS:001100921400001,A Convolutional Neural Network-based gradient boosting framework for prediction of the band gap of photo-active catalysts,"Kumar, A Upadhyayula, S Kodamana, H",2023,DIGITAL CHEMICAL ENGINEERING,10.1016/j.dche.2023.100109,Article,7
WOS:001451808000001,MLR-WM-ViT: Global high-performance classification of mixed-type wafer map defect using a multi-level relay Vision Transformer,"Zhang, XY Liang, XX Zhang, Y Li, J Wei, SM",2025,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2025.127121,Article,6
