source,target,weight
WOS:001451808000001,WOS:001596535300002,30.0
WOS:001514426300078,WOS:001654113500007,23.0
WOS:001182049500002,WOS:001532189500063,19.0
WOS:001392871400001,WOS:001596535300002,15.0
WOS:001224296200059,WOS:001514426300078,14.0
WOS:001224296200059,WOS:001654113500007,13.0
WOS:001496920600004,WOS:001600047600018,12.0
WOS:001244136600001,WOS:001596535300002,11.0
WOS:001244136600001,WOS:001392871400001,10.0
WOS:001392871400001,WOS:001451808000001,10.0
WOS:001346503100045,WOS:001565027300007,10.0
WOS:001461675500003,WOS:001596535300002,10.0
WOS:001596535300002,WOS:001631323000001,10.0
WOS:001167553100007,WOS:001545311800099,9.0
WOS:001167553100007,WOS:001558390000001,8.0
WOS:001123254100054,WOS:001654113500009,8.0
WOS:001123254100054,WOS:001208695800013,8.0
WOS:001337346800001,WOS:001537081400001,8.0
WOS:001451808000001,WOS:001631323000001,8.0
WOS:001208695800013,WOS:001654113500009,8.0
WOS:000803112900028,WOS:001291294600229,7.0
WOS:001098109400001,WOS:001596535300002,7.0
WOS:001517345700044,WOS:001559160300135,7.0
WOS:001392871400001,WOS:001631323000001,7.0
WOS:001392737100014,WOS:001492213800023,7.0
WOS:001451808000001,WOS:001461675500003,7.0
WOS:001596535300002,WOS:001600047600018,7.0
WOS:000803112900028,WOS:001392871400001,6.0
WOS:000800559502012,WOS:000800559506065,6.0
WOS:001392871400001,WOS:001461675500003,6.0
WOS:001144015500015,WOS:001596535300002,6.0
WOS:001392871400001,WOS:001476945200131,6.0
WOS:001514426300110,WOS:001654113500011,6.0
WOS:001378122500020,WOS:001392871400001,6.0
WOS:001098109400001,WOS:001291294600229,6.0
WOS:001259324800001,WOS:001392871400001,6.0
WOS:001244136600001,WOS:001451808000001,6.0
WOS:001442947000173,WOS:001600047600018,6.0
WOS:001469396200048,WOS:001638074400015,6.0
WOS:001496920600004,WOS:001596535300002,5.0
WOS:001392871400001,WOS:001532189500063,5.0
WOS:001098109400001,WOS:001392871400001,5.0
