community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
1,11,21.90909090909091,2.7750027750027753e-05,0.015403895401762336,0.19174603174603178,0.2928433888762863,241.0,"Burr, GW; Chen, A; Chen, CT; Frank, MM; Narayanan, P",10.4
0,23,4.478260869565218,0.0035302861389817915,0.006578776850510709,0.17319848620999514,0.027634814751825276,103.0,"Ambrogio, S; Ahsan, I; El Maghraoui, K; Fasoli, A; Friz, AM",21.7
2,10,9.4,0.00042124542124542125,0.009433962264150941,0.05884892418505864,1.6832660569187343e-05,94.0,"Baderot, J; Foucher, J; Sanou, IW; Hallal, A; Mazauric, L",9.4
5,4,9.5,0.0,0.009433962264150941,0.02857142857142857,4.6124603390529345e-08,38.0,"Chen, YN; Qiao, YB; Mei, ZZZ; Luo, YN",3.8
6,4,6.0,0.0,0.009433962264150943,0.02857142857142857,8.886290416795659e-12,24.0,"Huang, Y; Yella, J; Zhang, C; Bom, S",3.8
7,4,6.0,0.0,0.009433962264150943,0.02857142857142857,8.886290416795659e-12,24.0,"Cheng, MX; Jia, YX; Zhao, ZY; Zheng, H",3.8
8,4,6.0,0.0,0.009433962264150943,0.02857142857142857,8.886290416795659e-12,24.0,"Li, J; Liang, XX; Wei, SM; Zhang, XY",3.8
14,3,4.0,0.0,0.009433962264150943,0.01904761904761905,7.58633040147386e-15,12.0,"Huang, ZF; Xu, H; Ma, RJ",2.8
15,3,4.0,0.0,0.009433962264150943,0.01904761904761905,7.58633040147386e-15,12.0,"Tang, MJ; Tu, J; Wong, KKL",2.8
13,3,4.0,0.0,0.009433962264150943,0.01904761904761905,7.58633040147386e-15,12.0,"Deng, YF; Wu, B; Liu, F",2.8
3,6,1.6666666666666667,0.00030525030525030525,0.009433962264150943,0.029982363315696647,7.126660035855281e-19,10.0,"Arshad, S; Chae, MS; Ha, MH; Kim, SH; Park, TH",5.7
10,4,2.5,4.578754578754579e-05,0.009433962264150941,0.025,6.019445255596209e-18,10.0,"Akyash, M; Azar, K; Kamali, H; Mashnoor, N",3.8
4,5,1.6,0.00021978021978021978,0.009433962264150943,0.02503401360544218,1.4977886000126606e-19,8.0,"Amiri, N; Guo, JW; Wang, Y; Yu, LY; Zhang, S",4.7
12,4,1.5,0.00013736263736263736,0.00943396226415094,0.019999999999999997,2.176774403572288e-20,6.0,"Bae, S; Jeon, J; Kim, S; Kwon, H",3.8
11,4,1.5,0.00013736263736263736,0.00943396226415094,0.019999999999999997,2.176774403572288e-20,6.0,"Alam, M; Mitra, P; Mukhopadhyay, D; Shukla, S",3.8
9,4,1.5,0.00013736263736263736,0.00943396226415094,0.019999999999999997,2.176774403572288e-20,6.0,"Aklekar, D; Bhure, C; Che, WJ; Saqib, F",3.8
16,2,3.0,0.0,0.009433962264150943,0.009523809523809525,6.997154768729526e-17,6.0,"Jeong, J; Park, J",1.9
17,2,2.0,0.0,0.009433962264150943,0.009523809523809525,1.6642095555872996e-19,4.0,"Bao, ZY; Nie, JH",1.9
18,2,2.0,0.0,0.009433962264150943,0.009523809523809525,1.6642095555872996e-19,4.0,"Lu, Y; Shen, JW",1.9
19,2,2.0,0.0,0.009433962264150943,0.009523809523809525,1.6642095555872996e-19,4.0,"Shon, J; Woo, SS",1.9
20,2,2.0,0.0,0.009433962264150943,0.009523809523809525,1.6642095555872996e-19,4.0,"Wang, R; Yuan, ZW",1.9
