source,target,weight
Dosovitskiy A_2021_Arxiv,Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),10.0
Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Vaswani A_2017_ADV NEUR IN,10.0
Dosovitskiy A_2021_Arxiv,Wang JL_2020_IEEE T SEMICONDUCT M,7.0
He KM_2016_PROC CVPR IEEE,Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),7.0
He KM_2016_PROC CVPR IEEE,Simonyan K_2015_Arxiv,7.0
Hochreiter S_1997_NEURAL COMPUT,Vaswani A_2017_ADV NEUR IN,7.0
Dosovitskiy A_2021_Arxiv,Vaswani A_2017_ADV NEUR IN,7.0
Dosovitskiy A_2021_Arxiv,He KM_2016_PROC CVPR IEEE,7.0
Wang JL_2020_IEEE T SEMICONDUCT M,Wu MJ_2015_IEEE T SEMICONDUCT M,7.0
Dosovitskiy A_2021_Arxiv,Wei YX_2022_IEEE T SEMICONDUCT M,6.0
Dosovitskiy A_2021_Arxiv,Touvron H_2021_PR MACH LEARN RES,6.0
Dosovitskiy A_2021_Arxiv,Wu MJ_2015_IEEE T SEMICONDUCT M,6.0
Kyeong K_2018_IEEE T SEMICONDUCT M,Wang JL_2020_IEEE T SEMICONDUCT M,6.0
Kyeong K_2018_IEEE T SEMICONDUCT M,Wu MJ_2015_IEEE T SEMICONDUCT M,6.0
Dosovitskiy A_2021_Arxiv,Nag S_2022_COMPUT IND,5.0
Dosovitskiy A_2021_Arxiv,Howard AG_2017_Arxiv,5.0
Fan SKS_2024_INT J PROD ECON,Hou XN_2024_IEEE T SEMICONDUCT M,5.0
Dosovitskiy A_2021_Arxiv,Vaswani Ashish_2017_[No title captured],5.0
Dosovitskiy A_2021_Arxiv,Yu JB_2022_IEEE T IND INFORM,5.0
Dosovitskiy A_2021_Arxiv,Yu NG_2023_CAAI T INTELL TECHNO,5.0
