node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
"Ambrogio, S",32,32.0,0.04523809523809524,0.04026934428468836,0.30504201680672266,0.16792484295851026,0
"Ahsan, I",30,30.0,0.03571428571428571,0.03757199597510295,0.2803088803088803,0.15392330983149682,0
"Burr, GW",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Chen, A",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Chen, CT",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Frank, MM",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Narayanan, P",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Sebastian, A",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Narayanan, V",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Jain, S",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Mackin, C",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Muralidhar, R",12,22.0,3.052503052503053e-05,0.015498220312340426,0.19206349206349208,0.29345042844625946,1
"Boybat, I",11,21.0,0.0,0.014460646295981441,0.18857142857142856,0.2867729931765544,1
"Baderot, J",9,18.0,0.003937728937728938,0.01925679217624449,0.08571428571428572,2.7113534767669897e-05,2
"Foucher, J",6,15.0,9.157509157509158e-05,0.013724366191411921,0.06428571428571428,2.6730304361473914e-05,2
"Sanou, IW",6,15.0,9.157509157509158e-05,0.013724366191411921,0.06428571428571428,2.6730304361473914e-05,2
"Hallal, A",6,15.0,9.157509157509158e-05,0.013724366191411921,0.06428571428571428,2.6730304361473914e-05,2
"Chen, YN",3,10.0,0.0,0.009869770303527479,0.02857142857142857,4.80431368405201e-08,5
"Qiao, YB",3,10.0,0.0,0.009869770303527479,0.02857142857142857,4.80431368405201e-08,5
"Mazauric, L",5,10.0,0.0,0.009518163715144854,0.05934065934065934,1.9254663096616118e-05,2
"Barra, V",5,10.0,0.0,0.009518163715144854,0.05934065934065934,1.9254663096616118e-05,2
