node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
Zheng GF_2005_NAT BIOTECHNOL,28,1310.0,0.05258583224684919,0.06353531854477756,0.23834745762711862,0.5521944642927484,0
Cui Y_2001_SCIENCE,22,1014.0,0.010285383166739099,0.04667261431184366,0.2007136485280999,0.5152857535507362,0
Weber WA_2000_EUR J NUCL MED,15,593.0,0.015065913370998116,0.02885897163698549,0.13559322033898305,1.6742702826371486e-05,1
Wester HJ_1999_J NUCL MED,13,529.0,0.01086484137331595,0.02682386467652594,0.11689070718877849,1.5967073843860942e-05,1
Greenland S_2000_EPIDEMIOLOGY,8,402.0,0.002462697377951615,0.01804906036410194,0.06779661016949153,4.167280837553458e-07,4
Ahlbom A_2000_BRIT J CANCER,8,352.0,0.0,0.01586257173929227,0.06779661016949153,3.929075693596647e-07,4
Hahm J_2004_NANO LETT,6,339.0,0.0,0.014319437718928473,0.14124293785310735,0.2930257929889044,0
Patolsky F_2004_P NATL ACAD SCI USA,6,324.0,0.0,0.013751058441644088,0.14124293785310735,0.28554924928839504,0
Yu YP_2004_J CLIN ONCOL,9,322.0,0.004490801100970592,0.02809886193335764,0.07627118644067797,3.2674027165612596e-11,2
Shields AF_1998_NAT MED,9,314.0,0.0047805302042590175,0.032094685874544636,0.07627118644067797,2.225012413038715e-12,3
Stern E_2007_NATURE,7,311.0,0.0,0.013367778577447708,0.1439078989446754,0.24970832837459095,0
Jager PL_2001_J NUCL MED,8,285.0,0.0,0.013413354080460672,0.09970089730807577,1.1045491657355355e-05,1
Heiss P_1999_J NUCL MED,7,276.0,0.0,0.012850688722328942,0.09685230024213073,1.1805933019222037e-05,1
Wang WU_2005_P NATL ACAD SCI USA,5,219.0,0.0,0.009645417749147022,0.1386748844375963,0.20317607649027103,0
Li Z_2004_NANO LETT,5,214.0,0.0,0.009421277806201311,0.1386748844375963,0.1932530102164973,0
Lynch TJ_2004_NEW ENGL J MED,6,213.0,0.0002897291032884253,0.012536716677824676,0.05084745762711865,8.677051043378742e-11,5
Paez JG_2004_SCIENCE,6,205.0,0.00014486455164421265,0.012109233029257272,0.05084745762711865,8.421970488933819e-11,5
Tang XN_2005_CANCER RES,6,199.0,0.00043459365493263795,0.01180824994854601,0.05084745762711865,8.118282431362704e-11,5
Rau FC_2002_EUR J NUCL MED MOL I,5,192.0,0.0,0.009205364150533059,0.09161704076958314,8.992182005227244e-06,1
Chen RJ_2003_P NATL ACAD SCI USA,5,182.0,0.0,0.009308787588483382,0.1386748844375963,0.1311819671103772,0
Linet MS_1997_NEW ENGL J MED,5,169.0,0.0,0.007941220563260158,0.04930662557781202,2.1658607965947627e-07,4
Herholz K_1998_NEUROLOGY,4,155.0,0.0,0.008210491001038621,0.0847457627118644,5.173840741793533e-06,1
Albertoni M_2002_ONCOGENE,5,154.0,0.00043459365493263795,0.011114133317509173,0.0423728813559322,3.1787308186201394e-13,6
McBride ML_1999_AM J EPIDEMIOL,5,154.0,0.0,0.007345857912013054,0.04930662557781202,1.9420721961472827e-07,4
Kaim AH_2002_EUR J NUCL MED MOL I,4,152.0,0.0,0.007536243383388343,0.08920606601248884,7.46886309637475e-06,1
Lapointe J_2004_P NATL ACAD SCI USA,4,148.0,0.0,0.01188423606713748,0.0490314769975787,2.51997234235205e-11,2
SAVITZ DA_1988_AM J EPIDEMIOL,5,146.0,0.0,0.007023717434341886,0.04930662557781202,1.8520848050154477e-07,4
Kaschten B_1998_J NUCL MED,4,145.0,0.0,0.007750681796774727,0.0847457627118644,4.842763059804595e-06,1
Bootcov MR_1997_P NATL ACAD SCI USA,5,145.0,0.0,0.01052095944378053,0.0423728813559322,3.04658578689637e-13,6
LONDON SJ_1991_AM J EPIDEMIOL,5,143.0,0.0,0.006910094683644712,0.04930662557781202,1.7824733575666442e-07,4
Machulla HJ_2000_J RADIOANAL NUCL CH,4,142.0,0.0,0.013841741538070903,0.0490314769975787,1.7000622582918214e-12,3
OGAWA T_1993_RADIOLOGY,4,131.0,0.0027524264812400405,0.008099521790294172,0.0847457627118644,3.561048669937564e-06,1
Langen KJ_2003_NUCL MED BIOL,4,130.0,0.0,0.006620187241465485,0.08920606601248884,6.781436234050357e-06,1
Laverman P_2002_EUR J NUCL MED MOL I,4,128.0,0.0,0.006525796133852688,0.08920606601248884,6.531338840225082e-06,1
Welsh JB_2001_CANCER RES,4,125.0,0.0,0.010147954120243694,0.0490314769975787,2.0909690925363226e-11,2
Popperl G_2004_EUR J NUCL MED MOL I,4,120.0,0.0,0.0069769194419374144,0.09161704076958314,4.462185001611987e-06,1
Pauleit D_2005_BRAIN,4,118.0,0.0027524264812400405,0.00789549696205959,0.0847457627118644,2.866821565981728e-06,1
Dhanasekaran SM_2001_NATURE,3,117.0,0.0,0.00956262827350614,0.04576271186440678,2.1601627272270348e-11,2
Li PX_2000_J BIOL CHEM,4,115.0,0.0,0.008508665728381836,0.03531073446327684,2.620993040570058e-13,6
Weckesser M_2005_EUR J NUCL MED MOL I,4,115.0,0.0,0.0067414206475444275,0.09161704076958314,4.23306867361407e-06,1
Li C_2005_J AM CHEM SOC,3,113.0,0.0,0.005919507875707149,0.13380909901873325,0.10706867160101745,0
Paralkar VM_1998_J BIOL CHEM,4,109.0,0.0,0.00813749982248124,0.03531073446327684,2.4813974058643174e-13,6
Lord RVN_2000_J GASTROINTEST SURG,2,107.0,0.0,0.008620567355383874,0.01694915254237288,1.6914199573309098e-14,8
WERTHEIMER N_1979_AM J EPIDEMIOL,2,106.0,0.0,0.005313164042979611,0.038740920096852295,1.861936858719468e-07,4
Gibson UEM_1996_GENOME RES,2,103.0,0.0,0.008330796598296296,0.01694915254237288,1.649936906763118e-14,8
Heid CA_1996_GENOME RES,2,102.0,0.0,0.00825872007993327,0.01694915254237288,1.6388840036572432e-14,8
Bunimovich YL_2006_J AM CHEM SOC,3,99.0,0.0,0.0051223961170993315,0.13380909901873325,0.09830707387921878,0
Shigematsu H_2005_JNCI-J NATL CANCER I,3,94.0,0.0,0.005982155905455055,0.03389830508474576,5.090065475363407e-11,5
Pao W_2004_P NATL ACAD SCI USA,3,91.0,0.0,0.005829931225784794,0.03389830508474576,4.940877078900513e-11,5
Huang Y_2001_SCIENCE,2,90.0,0.0,0.004884622774308113,0.1315020455873758,0.10822214367317047,0
Chen RJ_2004_J AM CHEM SOC,3,89.0,0.0,0.00492950819474787,0.13380909901873325,0.08141707418975683,0
Singh D_2002_CANCER CELL,3,88.0,0.0,0.007504700721129096,0.04576271186440678,1.6293597470217794e-11,2
Tsao MS_2005_NEW ENGL J MED,3,80.0,0.0,0.005278759614004232,0.03389830508474576,4.3334186802824195e-11,5
Cappuzzo F_2005_JNCI-J NATL CANCER I,3,80.0,0.0,0.005278483010892678,0.03389830508474576,4.335689993981344e-11,5
Baek SJ_2001_MOL PHARMACOL,3,79.0,0.0,0.006155151320987267,0.03026634382566586,1.9642823524391958e-13,6
Hromas R_1997_BBA-GENE STRUCT EXPR,3,76.0,0.0,0.0059837584340868616,0.03026634382566586,1.8593111382178757e-13,6
Patolsky F_2006_SCIENCE,2,71.0,0.0,0.004118153608965731,0.1315020455873758,0.08532090394966088,0
Patolsky F_2006_ANAL CHEM,2,70.0,0.0,0.004081130842927898,0.1315020455873758,0.08424646346445269,0
Kong J_2000_SCIENCE,2,69.0,0.0,0.00403780441582771,0.1315020455873758,0.0829233359287891,0
Rasey JS_2002_J NUCL MED,2,68.0,0.0,0.007059708557941915,0.04290254237288136,1.06842014782676e-12,3
Hamacher K_2002_APPL RADIAT ISOTOPES,2,67.0,0.0,0.004096215574557146,0.0847457627118644,3.997630397618065e-06,1
Morales AM_1998_SCIENCE,2,66.0,0.0,0.003912027575235382,0.1315020455873758,0.07911974468876863,0
Cheng KK_1999_LANCET,2,62.0,0.0,0.003630587186223796,0.038740920096852295,1.0915522013624228e-07,4
Vesselle H_2002_CLIN CANCER RES,2,60.0,0.0,0.006372713731702212,0.04290254237288136,9.38001224817925e-13,3
FEYCHTING M_1993_AM J EPIDEMIOL,2,60.0,0.0,0.0035539781749828955,0.038740920096852295,1.0574738082148359e-07,4
Cui Y_2003_NANO LETT,2,59.0,0.0,0.0036297547890752476,0.1315020455873758,0.07068680877397487,0
WAGNER RS_1964_APPL PHYS LETT,2,56.0,0.0,0.0035144840502535114,0.1315020455873758,0.06729769595138001,0
Star A_2003_NANO LETT,2,56.0,0.0,0.0036276131825160743,0.1271186440677966,0.04486748572596244,0
Hughes C_2002_AM J MED GENET,2,55.0,0.00014486455164421265,0.01225633698280642,0.01694915254237288,3.4098282459692625e-23,11
Cartmell T_2000_J PHYSIOL-LONDON,2,55.0,0.00014486455164421265,0.012256336982806417,0.01694915254237288,3.153403061400466e-23,9
Buck AK_2003_J NUCL MED,2,55.0,0.0,0.005938310506955367,0.04290254237288136,8.514718107188616e-13,3
Besteman K_2003_NANO LETT,2,55.0,0.0,0.0034690564027992045,0.1315020455873758,0.06589167273223132,0
Xia YN_2003_ADV MATER,2,54.0,0.0,0.003434134857115489,0.1315020455873758,0.06490012793050823,0
Patolsky F_2005_MATER TODAY,2,53.0,0.0,0.0033929096503694193,0.1315020455873758,0.06365989607832977,0
Ramani R_1997_INT J RADIAT ONCOL,2,51.0,0.0005794582065768506,0.010136844332155594,0.022598870056497175,3.5792293697131073e-22,7
Butson MJ_1996_MED PHYS,2,51.0,0.00043459365493263795,0.010371559029144148,0.019370460048426148,3.31354278389354e-22,7
Fujibayashi Y_1997_J NUCL MED,2,51.0,0.0,0.008452792881858625,0.01694915254237288,5.656125875726182e-21,10
Takahashi N_2000_ANN NUCL MED,2,51.0,0.0,0.008452792881858625,0.01694915254237288,5.656125875726182e-21,10
SOUBRA M_1994_MED PHYS,2,50.0,0.00043459365493263795,0.010288139298200091,0.019370460048426148,3.19100179154885e-22,7
Lewis JS_1999_J NUCL MED,2,50.0,0.0,0.008304498269896193,0.01694915254237288,5.581378221756133e-21,10
Wu GH_2001_NAT BIOTECHNOL,1,42.0,0.0,0.0029919628850156076,0.12503473186996386,0.05208973779149483,0
Nam JM_2003_SCIENCE,1,41.0,0.0,0.002950737678269538,0.12503473186996386,0.050849505939316385,0
Buck AK_2002_CANCER RES,1,34.0,0.0,0.004214446129959219,0.04037886340977069,5.884000158736326e-13,3
Rhodes DR_2004_NEOPLASIA,1,32.0,0.0,0.0036340729502104176,0.04037886340977069,7.136847682543923e-12,2
Duan XF_2003_NATURE,1,31.0,0.0,0.002538485610808839,0.12503473186996386,0.038447187417531906,0
Greenland S_2003_J AM STAT ASSOC,1,30.0,0.0,0.008403361344537815,0.00847457627118644,1.2338839444441297e-25,12
Greenland S_2005_J R STAT SOC A STAT,1,30.0,0.0,0.008403361344537815,0.00847457627118644,1.2338839444441297e-25,12
Tomlins SA_2005_SCIENCE,1,30.0,0.0,0.0034857249034273086,0.04037886340977069,6.690794702384927e-12,2
Wagner M_2003_CANCER RES,1,30.0,0.0,0.003866923550161742,0.04037886340977069,5.191764845943817e-13,3
Claes E_2003_AM J MED GENET A,1,30.0,0.0,0.006951088918469223,0.011299435028248588,2.333082216311533e-23,11
Cina SJ_2001_ARCH PATHOL LAB MED,1,30.0,0.0,0.008403361344537815,0.00847457627118644,1.2338839444441297e-25,13
Epstein JI_1998_AM J SURG PATHOL,1,30.0,0.0,0.008403361344537815,0.00847457627118644,1.2338839444441297e-25,13
SHERLEY JL_1988_J BIOL CHEM,1,29.0,0.0,0.0037800429052123738,0.04037886340977069,5.01870601774569e-13,3
COENEN HH_1989_J NUCL MED,1,28.0,0.0,0.002467324578438633,0.07062146892655367,1.6350870624656995e-06,1
Varambally S_2005_CANCER CELL,1,28.0,0.0,0.0033373768566441996,0.04037886340977069,6.244741722225932e-12,2
Chai Z_1996_J EXP MED,1,28.0,0.0,0.006571716604016653,0.011299435028248588,2.020114381320623e-23,9
Floeth FW_2005_J NEUROSURG,1,28.0,0.0,0.0028529857924520586,0.05745475438092502,2.9357306876765925e-07,1
Glinsky GV_2004_J CLIN INVEST,1,27.0,0.0,0.0032632028332526446,0.04037886340977069,6.021715232146434e-12,2
Star A_2006_P NATL ACAD SCI USA,1,27.0,0.0,0.0023735847838245593,0.12503473186996386,0.03348626000881811,0
Patolsky F_2006_NAT PROTOC,1,27.0,0.0,0.0023735847838245593,0.12503473186996386,0.03348626000881811,0
KLUGER MJ_1991_PHYSIOL REV,1,27.0,0.0,0.006382030446790368,0.011299435028248588,1.9479674391306006e-23,9
Cheng MMC_2006_CURR OPIN CHEM BIOL,1,26.0,0.0,0.0023323595770784896,0.12503473186996386,0.03224602815663966,0
