node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
positron-emission-tomography,36,936.0,0.430958230958231,0.0947131414789721,0.4081251062383138,0.4705897882159009,0
cancer,29,713.0,0.46683046683046686,0.05748441081108264,0.45299750011791895,0.3565136595362497,2
expression,26,705.0,0.2964782964782965,0.06471845895440166,0.38626126126126126,0.29541466530000177,1
pet,18,463.0,0.07010647010647011,0.04316369339231501,0.36662085814628187,0.35551426237587064,0
in-vivo,12,321.0,0.005896805896805897,0.02726065111759922,0.39508001151836764,0.31494415016048044,0
pooled analysis,9,242.0,0.01769041769041769,0.018495203044021327,0.31123209540475727,0.07879188691503224,2
cells,11,238.0,0.12694512694512694,0.019896751543553814,0.37294190742466604,0.16861302168723805,1
carcinoma,11,237.0,0.015888615888615888,0.020604072616378512,0.39872130194710836,0.1647197904621526,1
apoptosis,9,204.0,0.016216216216216217,0.017910640748105604,0.3488811392037198,0.13599293454646375,1
electrical detection,9,194.0,0.10778050778050778,0.03064929757545586,0.22185262185262183,0.0021946339957658726,3
exposure,8,174.0,0.014742014742014743,0.013701780057630557,0.3101165681810843,0.07075840959619498,2
childhood leukemia,6,153.0,0.0,0.011532882741228977,0.3079093328203648,0.06543270525648434,2
risk,6,147.0,0.0,0.01132311616011523,0.3079093328203648,0.07624467921771808,2
fdg-pet,6,138.0,0.0,0.013440638979367099,0.3134874004439222,0.15451288793300155,0
proliferation,6,127.0,0.0,0.011151268135903674,0.37134129837992497,0.15649868690179014,0
growth,6,125.0,0.028501228501228503,0.011320294682550325,0.3488811392037198,0.09336571882471625,1
positron emission tomography,6,125.0,0.0,0.012032687557968436,0.31462735462735464,0.13764475663450457,0
brain-tumors,4,124.0,0.0,0.011410925912611301,0.3101165681810843,0.16901934865803528,0
gene-expression,7,119.0,0.06158886158886159,0.010928794009204674,0.334063793523253,0.06442815574019665,1
progression,4,111.0,0.0,0.009506667289631789,0.334063793523253,0.10548266386840532,1
electromagnetic-fields,5,106.0,0.0,0.00835552126201051,0.30681745575362596,0.05397872948200617,2
gene,4,103.0,0.0,0.009070513179505751,0.3327789327789328,0.09976249865428581,1
dna,5,102.0,0.11400491400491401,0.014011123443108458,0.28000816350330915,0.010193056184602573,3
breast-cancer,5,96.0,0.004586404586404587,0.009007325822859565,0.3474800101306125,0.09401478417703964,0
tumor,5,89.0,0.0,0.008165241966014545,0.3828430200111616,0.11177248148043666,1
magnetic-fields,4,83.0,0.0,0.0068051496934928195,0.3057332951325884,0.03819152340744454,2
5-fluorouracil,4,79.0,0.04668304668304669,0.009621218031204023,0.24720720720720724,0.0036658450843895496,4
radiotherapy,4,72.0,0.031613431613431615,0.0102764200274837,0.2846135609293504,0.05337921415629101,0
arrays,4,72.0,0.0171990171990172,0.010440081098302655,0.2662231462231462,0.00607170820036018,3
prostate cancer,4,72.0,0.015888615888615888,0.008073832734791772,0.3079093328203648,0.04040121387248839,1
