source,target,weight
WOS:000250437100017,WOS:000262285900028,223.0
WOS:000251113600015,WOS:000262285900028,221.0
WOS:000250437100017,WOS:000251113600015,221.0
WOS:000255676700035,WOS:000255702400003,196.0
WOS:000258592700016,WOS:000259368000012,193.0
WOS:000250860700015,WOS:000252002500005,177.0
WOS:000254939900003,WOS:000258903200001,168.0
WOS:000240336000010,WOS:000266388600011,135.0
WOS:000209419300010,WOS:000259368000012,124.0
WOS:000209419300010,WOS:000258592700016,124.0
WOS:000255065200015,WOS:000262835600001,121.0
WOS:000252396500007,WOS:000256908200009,120.0
WOS:000186678000008,WOS:000267545000010,110.0
WOS:000173969500004,WOS:000265248200004,106.0
WOS:000173969500004,WOS:000311229600009,104.0
WOS:000238648900001,WOS:000263554000001,103.0
WOS:000244259900003,WOS:000247063300003,100.0
WOS:000226138700002,WOS:000254305000002,99.0
WOS:000264452800003,WOS:000265692500006,98.0
WOS:000244866700002,WOS:000261892700002,97.0
WOS:000251679300004,WOS:000257979000005,94.0
WOS:000265248200004,WOS:000311229600009,94.0
WOS:000258921300013,WOS:000284808900011,93.0
WOS:000220081800007,WOS:000239997100016,91.0
WOS:000267424500009,WOS:000267581800010,90.0
WOS:000251118600001,WOS:000271122700004,90.0
WOS:000262285900028,WOS:000263314200003,87.0
WOS:000250437100017,WOS:000263314200003,87.0
WOS:000251113600015,WOS:000263314200003,86.0
WOS:000240336000003,WOS:000266388600004,85.0
WOS:000222226600021,WOS:000265248200004,78.0
WOS:000185061500015,WOS:000311229600009,78.0
WOS:000222226600021,WOS:000311229600009,77.0
WOS:000173969500004,WOS:000222226600021,77.0
WOS:000087649500017,WOS:000177171300017,77.0
WOS:000267776700011,WOS:000268026600011,75.0
WOS:000263631700002,WOS:000265698500006,73.0
WOS:000230393100001,WOS:000233231800005,73.0
WOS:000245612300002,WOS:000261094900002,73.0
WOS:000177918300001,WOS:000232319300039,71.0
WOS:000261597400015,WOS:000267127900009,71.0
WOS:000250235400002,WOS:000270079800015,69.0
WOS:000260291400013,WOS:000271547900016,68.0
WOS:000220081800007,WOS:000264489600010,68.0
WOS:000240381200014,WOS:000260900100002,68.0
WOS:000239997100016,WOS:000264489600010,67.0
WOS:000246480000004,WOS:000253396900017,66.0
WOS:000243220300006,WOS:000252138400010,66.0
WOS:000185061500015,WOS:000265248200004,65.0
WOS:000170517500002,WOS:000182278500017,65.0
WOS:000237053500001,WOS:000254305000002,65.0
WOS:000262835600001,WOS:000267424500009,63.0
WOS:000242821000010,WOS:000258505500002,62.0
WOS:000232145600005,WOS:000238868700003,62.0
WOS:000237053500001,WOS:000266476500001,62.0
WOS:000253251200005,WOS:000255856700002,62.0
WOS:000244259900003,WOS:000244885300003,61.0
WOS:000173969500004,WOS:000185061500015,61.0
WOS:000254305000002,WOS:000264892200004,61.0
WOS:000259721000004,WOS:000270199100003,60.0
WOS:000225358100032,WOS:000232319300039,59.0
WOS:000235031400003,WOS:000239130000010,59.0
WOS:000235031400003,WOS:000258921300013,59.0
WOS:000255456300086,WOS:000259673500087,59.0
WOS:000173652600004,WOS:000222815100002,59.0
WOS:000257248800002,WOS:000262668300006,59.0
WOS:000245564000015,WOS:000249894400003,58.0
WOS:000259506400006,WOS:000275598000006,58.0
WOS:000254305000002,WOS:000266476500001,58.0
