node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
Dosovitskiy A_2021_Arxiv,35,156.0,0.3452194357366771,0.08508410181114802,0.47232744107744107,0.500352423272198,1
He KM_2016_PROC CVPR IEEE,21,79.0,0.07183908045977012,0.04522745527537884,0.36436688311688314,0.29075199354965775,0
Vaswani A_2017_ADV NEUR IN,15,68.0,0.2648902821316615,0.05692483749350069,0.39543692741367165,0.1638046308010255,0
Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),13,67.0,0.12774294670846395,0.03944469019451608,0.39543692741367165,0.2715910301026129,0
Wang JL_2020_IEEE T SEMICONDUCT M,14,64.0,0.005834204110066179,0.028679070579014768,0.33782360024081876,0.3087437328270748,1
Wu MJ_2015_IEEE T SEMICONDUCT M,12,52.0,0.007532218739115292,0.024084454831916263,0.3356010765550239,0.2587510445579568,1
Yu JB_2022_IEEE T IND INFORM,11,41.0,0.014759665621734589,0.019294066527967717,0.3312426210153483,0.20437180382012854,1
Kyeong K_2018_IEEE T SEMICONDUCT M,8,36.0,0.026602229188436088,0.018506060087402715,0.3249131441806601,0.1914013535873478,1
Hou XN_2024_IEEE T SEMICONDUCT M,10,36.0,0.0,0.016223065399242752,0.3168407679277245,0.18237955005584416,1
Yu NG_2023_CAAI T INTELL TECHNO,9,35.0,0.007575757575757577,0.016115386600430926,0.314884960718294,0.185715203514543,1
Fan SKS_2024_INT J PROD ECON,9,33.0,0.0,0.01499952995207301,0.314884960718294,0.17255520231050706,1
Chen SH_2023_EXPERT SYST APPL,9,31.0,0.0,0.014673423202251162,0.314884960718294,0.16304870158222962,1
Chen SH_2025_J INTELL MANUF,8,29.0,0.0,0.013415047775231394,0.3072973713033954,0.150365787922045,1
Wei YX_2022_IEEE T SEMICONDUCT M,7,28.0,0.0,0.01330777547348536,0.3129531511433352,0.17012443035500016,1
Gunn SR_1997_IEEE T PATTERN ANAL,9,27.0,0.000722506871086993,0.013673069202047609,0.10576923076923077,1.6401104693584512e-06,2
Juan Olivier._2006_P CVPR,9,27.0,0.000722506871086993,0.013673069202047609,0.10576923076923077,1.6401104693584507e-06,2
Chan TF_2001_IEEE T IMAGE PROCESS,9,27.0,0.0006360511811830271,0.013641318160820008,0.10576923076923077,1.6617884859375187e-06,2
Siméoni O_2021_Arxiv,8,24.0,0.0010525422290128172,0.0124914107131109,0.09821428571428571,1.4398745055042223e-06,2
Yang Y_2022_PROC SPIE,8,24.0,0.0010525422290128172,0.0124914107131109,0.09821428571428571,1.4398745055042223e-06,2
Castrejón L_2017_PROC CVPR IEEE,8,24.0,0.0006941517463829838,0.012451211069491049,0.09821428571428571,1.4802184876574e-06,2
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),8,24.0,0.00029271635508958024,0.012225633257191558,0.09821428571428571,1.5494165179495712e-06,2
Gao JR_2014_DES AUT CON,7,23.0,0.09822361546499478,0.023925199809133366,0.2787506209637357,0.01513857753236133,3
Carion N_2020_Img Proc Comp Vis Re,6,22.0,0.01724137931034483,0.014342755503367142,0.32082618639222416,0.10320338280302913,0
COOTES TF_1995_COMPUT VIS IMAGE UND,7,21.0,0.0005614131755105386,0.011010040533389536,0.09166666666666666,1.2796489816726946e-06,2
Simonyan K_2015_Arxiv,4,19.0,0.0,0.011107139394762496,0.314884960718294,0.11982355515189677,0
Ronneberger O_2015_LECT NOTES COMPUT SC,5,18.0,0.01724137931034483,0.012501059647751169,0.31882102272727275,0.09180491440676615,5
Boykov Y_2006_INT J COMPUT VISION,6,18.0,0.00034452391196813107,0.00968246995776819,0.0859375,1.093568552477071e-06,2
NAJMAN L_1994_SIGNAL PROCESS,6,18.0,0.00023573170124894263,0.009564021093832899,0.08088235294117647,1.1688872567982092e-06,2
Touvron H_2021_PR MACH LEARN RES,4,18.0,0.0,0.010645544512389039,0.3168407679277245,0.12603957765663307,0
Nag S_2022_COMPUT IND,5,18.0,0.0,0.00901471835406021,0.3000668449197861,0.11727528936989369,1
Saqlain M_2020_IEEE T SEMICONDUCT M,5,18.0,0.0,0.009382153545377893,0.3168407679277245,0.12076415267992578,1
Cheon S_2019_IEEE T SEMICONDUCT M,5,16.0,0.01724137931034483,0.010758833100152498,0.28819979455572675,0.04077110518816079,4
Nakazawa T_2018_IEEE T SEMICONDUCT M,4,15.0,0.0010449320794148381,0.008778408038891402,0.24407351022183557,0.040980545397324604,4
Peng SD_2020_PROC CVPR IEEE,5,15.0,0.00018348509727820074,0.008265047560255803,0.0763888888888889,9.645820049638822e-07,2
Liu Z_2022_PROC CVPR IEEE,3,13.0,0.0,0.007988369436534599,0.3129531511433352,0.10097148509624179,0
Alawieh MB_2020_DES AUT CON,4,13.0,0.0,0.007763942810651463,0.24291125541125538,0.03251895939993633,4
Hu J_2018_PROC CVPR IEEE,3,12.0,0.01724137931034483,0.0104929339709375,0.29316875653082547,0.03919736652310252,0
Banerjee S_2013_ICCAD-IEEE ACM INT,4,12.0,0.00013061650992685477,0.013243367401473671,0.2073632668144863,0.0012624390243763887,3
Krizhevsky A._2017_COMMUN ACM,3,12.0,0.0,0.007621145418915421,0.2833964646464647,0.060923329570947954,0
Howard AG_2017_Arxiv,3,11.0,0.0,0.0069645081854638495,0.3129531511433352,0.0935234903407708,0
Deng J_2009_PROC CVPR IEEE,3,11.0,0.0,0.007924088475124881,0.34235814521049424,0.0723988830354203,0
Yu NG_2019_IEEE T SEMICONDUCT M,3,11.0,0.0,0.0061744988984152906,0.3000668449197861,0.08419564624019653,1
Wang QJ_2022_PROCEEDINGS OF THE 59TH ACM/IEEE DESIGN AUTOMATION CONFERENCE,3,10.0,0.00013061650992685477,0.011081195641508657,0.20652373941847627,0.0015113072963863433,3
Bieniek A_2000_PATTERN RECOGN,3,9.0,3.265412748171369e-05,0.005662759211091173,0.06547619047619048,5.749030303458076e-07,2
Mehta S_2022_Arxiv,3,9.0,0.0,0.0066434058824123825,0.3054572672836146,0.055482832447434946,9
Zhou HY_2021_AAAI CONF ARTIF INTE,2,8.0,0.01724137931034483,0.009337330329339212,0.26430758360810175,0.014746857825889408,0
Vaswani Ashish_2017_[No title captured],2,8.0,0.0,0.0054632535032706365,0.3036390692640693,0.07533187785126619,1
Hochreiter S_1997_NEURAL COMPUT,1,7.0,0.0,0.006666291577852444,0.2615967365967366,0.025601152945606716,0
Woo SH_2018_LECT NOTES COMPUT SC,2,7.0,0.0,0.004746786954090868,0.29486337362059906,0.05560663448439377,1
Hsu CY_2022_IEEE T SEMICONDUCT M,2,6.0,0.00026123301985370953,0.016415900013878076,0.022727272727272728,2.6181211557916673e-18,6
