node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
transformers,31,121.0,0.3698942109903028,0.08000983029711202,0.5294615963855421,0.46614176755463116,1
transformer,30,99.0,0.22585463806445294,0.06607867747384916,0.521316033364226,0.36515918364692784,2
deep learning,21,71.0,0.18020863943579193,0.05022601996849156,0.4772611573052774,0.28879748302193053,0
integrated circuit modeling,22,71.0,0.13189342736800863,0.04793548144078129,0.46102778460781907,0.3318981228251217,0
accuracy,22,66.0,0.13823587031051032,0.05014244086121909,0.4673867885334442,0.25996815349872915,0
feature extraction,21,61.0,0.06185718483690861,0.040621543985583486,0.4548394921969759,0.25279504632263455,1
predictive models,14,49.0,0.004873151141149966,0.03126915204829638,0.4262332348260969,0.2537972055113536,0
computational modeling,12,46.0,0.046282691742580075,0.029169069015380956,0.43166295756273504,0.25295623297918296,0
data models,9,30.0,0.010750318346556962,0.01972131278079614,0.4209384120332261,0.18967673302799654,0
training,9,27.0,0.0,0.018028476333467602,0.401012333357097,0.1693426681840496,0
network,9,26.0,0.022308747183857384,0.020005336119846426,0.41073384446878425,0.08412164217181128,2
batteries,11,24.0,0.0,0.01625479228747638,0.41073384446878425,0.12270730847263182,1
classification,6,20.0,0.1486433539034185,0.01693248259902984,0.39401793219389186,0.075286201293852,2
integrated circuit,6,19.0,0.0,0.012776105868050312,0.37650602409638556,0.09407164480175693,0
modeling,7,19.0,0.0,0.01278815951647754,0.3624122157077508,0.08601661453149922,0
degradation,6,14.0,0.021745518660005878,0.011389280613772345,0.387263339070568,0.08682672742224826,1
patterns,5,14.0,9.795278675678323e-05,0.011985540965357082,0.30945700610661825,0.01680100702829317,2
data mining,5,13.0,0.0,0.009636597765353094,0.38506297918948523,0.08056169287389368,1
vision transformer,5,12.0,0.09932412577137817,0.016014881393213543,0.2921167428334026,0.003423474829101182,3
circuit modeling,4,12.0,0.0,0.009031931580204206,0.34577083845586426,0.05298954551132316,1
lithium-ion,5,12.0,0.0,0.008746413640372803,0.3683211105290728,0.06678211075426342,1
convolutional neural networks,6,12.0,0.0,0.009228112978712698,0.35114551470129224,0.043390086439828564,1
adaptation models,6,12.0,0.0,0.00885145132703808,0.3828874821319175,0.06932804846701918,1
models,4,11.0,0.0,0.008903005480188983,0.33221119773210495,0.05761986298362229,0
estimation,4,10.0,0.00014692918013517486,0.00823497380072605,0.35114551470129224,0.04396623540861921,2
integrated,3,10.0,0.0,0.007821724326565428,0.3405582127504995,0.04276308767407822,1
lithium-ion batteries,4,10.0,0.0,0.007578931363472935,0.35857716580608145,0.06447651772239749,1
state of health,4,10.0,0.0,0.008067596843054053,0.35114551470129224,0.041577047872878255,2
cnn,3,9.0,0.0,0.007546073220247997,0.338855421686747,0.03762238541361998,2
visualization,3,9.0,0.0,0.00686775430369631,0.3663301856072941,0.07764204773531684,1
manufacturing,3,9.0,0.0,0.006871740302707371,0.3663301856072941,0.07286263736643678,1
convolution,4,9.0,0.0,0.007137345644099088,0.37033379419316614,0.06141827631510682,2
deep,2,8.0,0.021745518660005878,0.01217666690867602,0.222931198478123,0.00015622002627194202,3
annotation,3,8.0,0.0002938583602703497,0.011667631973333033,0.22515310411079534,0.0002558802706687117,3
computer vision,3,7.0,0.04496032912136349,0.01015437474130164,0.33221119773210495,0.019489020809863533,3
anomaly detection,2,7.0,0.021745518660005878,0.00795114158972612,0.316687309987614,0.03241567039291222,0
detection,3,7.0,0.021745518660005878,0.007852219025402278,0.3624122157077508,0.040377399723919426,4
accuracy;,3,7.0,0.0,0.005806316989241861,0.3683211105290728,0.055596375726086125,1
encoding,3,7.0,0.0,0.0057414649750440454,0.35857716580608145,0.05527872455118491,1
model,3,7.0,0.0,0.005911034871613912,0.3529743975903615,0.04460037014564858,1
deep learning;,3,6.0,0.002057008521892448,0.009485750776143604,0.23209275457996373,0.00020440304798198996,3
learning,1,6.0,0.0,0.009558521161679195,0.17928858290304073,2.1008224707561294e-05,3
noise,2,6.0,0.0,0.0053569863352004934,0.30945700610661825,0.024598557243738377,1
metrology,2,6.0,0.0,0.008910202500437954,0.22220027651589966,0.00024729605905452856,3
analytical models,3,6.0,0.0,0.005924943457195653,0.3440156565347685,0.03283169893443483,0
delays,3,6.0,0.0,0.005427415946123346,0.35114551470129224,0.03946017197234943,0
(soh),3,6.0,0.0,0.0054442674187075366,0.35668991756499685,0.03921790447721245,2
graph neural networks,3,6.0,0.0,0.0053569009796887905,0.3440156565347685,0.03784709991979326,0
defect,3,6.0,0.0,0.005683752808711401,0.338855421686747,0.020884025729932885,2
kernel,3,6.0,0.0,0.0053803771827428855,0.32898584629781263,0.027877171270499268,1
hardware,3,6.0,0.0,0.005192072439025334,0.3683211105290728,0.05211953194293535,2
identification,3,6.0,0.0,0.005683752808711401,0.338855421686747,0.020884025729932885,2
circuit,2,5.0,0.0,0.005284250254812924,0.3338477060953172,0.025694194951972095,2
system,2,5.0,0.0,0.005284250254812924,0.3338477060953172,0.025694194951972095,2
semiconductor manufacturing,2,4.0,0.004701733764325595,0.006941480889720943,0.25670865279299016,0.0008824028998908142,3
defect detection,2,4.0,0.0,0.0042962698945304065,0.33221119773210495,0.016709485664439312,2
timing,2,4.0,0.0,0.004542305172996077,0.2959435997264166,0.01280547750226085,0
predictive models;,2,4.0,0.0,0.004194680210271753,0.31087653365756607,0.020147241285864734,0
lithography,2,4.0,0.0,0.00412025538593524,0.3273965426925092,0.024267399233636012,1
design automation,2,4.0,0.0,0.004057442563460892,0.35114551470129224,0.035757588284150835,1
analytical,2,4.0,0.0,0.004309246476437659,0.30805038335158813,0.017453334721170236,0
heuristic algorithms,2,4.0,0.0,0.004068460705048509,0.30945700610661825,0.022459408355801052,0
integrated circuit modeling;,1,3.0,0.0,0.0037229439130229544,0.30945700610661825,0.017472498560103862,0
semiconductor device,1,3.0,0.0,0.0037229439130229544,0.30945700610661825,0.017472498560103862,0
task analysis,1,3.0,0.0,0.0034717758890209054,0.3355004175116307,0.03132897649245012,1
market research,1,2.0,0.0,0.003168630635540643,0.2721730294672667,0.003890554712588685,1
diffusion model,1,2.0,0.0,0.011904761904761904,0.012048192771084338,1.9354949417510307e-14,5
