community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
0,10,210.4,0.00015493581230633023,0.003952569169960474,0.01817361053733234,3.38700436563992e-05,2104.0,WOS:000173969500004; WOS:000311229600009; WOS:000265248200004; WOS:000222226600021; WOS:000185061500015,4.0
8,4,462.5,0.0,0.003952569169960475,0.011904761904761904,0.48728798575898624,1850.0,WOS:000250437100017; WOS:000262285900028; WOS:000251113600015; WOS:000263314200003,1.6
3,6,188.0,4.21594047092055e-05,0.003952569169960473,0.014743165784832452,2.7506136430071522e-09,1128.0,WOS:000254305000002; WOS:000226138700002; WOS:000237053500001; WOS:000264892200004; WOS:000266476500001,2.4
17,3,294.0,0.0,0.003952569169960475,0.007936507936507936,5.255269205931255e-06,882.0,WOS:000258592700016; WOS:000259368000012; WOS:000209419300010,1.2
4,5,174.4,1.264782141276165e-05,0.003952569169960474,0.013544973544973544,1.0470039791709905e-10,872.0,WOS:000235031400003; WOS:000239130000010; WOS:000258921300013; WOS:000284808900011; WOS:000264608400009,2.0
14,4,187.0,7.904888382976032e-06,0.003952569169960474,0.010416666666666666,1.3525385652927364e-08,748.0,WOS:000255676700035; WOS:000255702400003; WOS:000258439900016; WOS:000254494400007,1.6
7,4,181.5,7.904888382976032e-06,0.003952569169960475,0.010416666666666666,1.254865915751064e-10,726.0,WOS:000262835600001; WOS:000267424500009; WOS:000255065200015; WOS:000267581800010,1.6
1,7,102.57142857142857,9.485866059571239e-05,0.003952569169960473,0.012383308301675649,1.4858429258479412e-14,718.0,WOS:000263554000001; WOS:000270577600005; WOS:000230159200004; WOS:000238648900001; WOS:000183818200001,2.8
2,6,111.0,6.850903265245893e-05,0.003952569169960473,0.011994591607686844,9.216339487033375e-13,666.0,WOS:000244259900003; WOS:000247063300003; WOS:000244885300003; WOS:000230083000016; WOS:000234800100003,2.4
11,4,149.5,0.0,0.003952569169960474,0.011904761904761904,8.755116533844619e-13,598.0,WOS:000238868700003; WOS:000232145600005; WOS:000256561200004; WOS:000240765900004,1.6
5,5,92.4,2.52956428255233e-05,0.003952569169960474,0.011761148904006046,1.428373547199457e-16,462.0,WOS:000227636200010; WOS:000297649900004; WOS:000183999100003; WOS:000243299200047; WOS:000271172300005,2.0
23,3,150.66666666666666,0.0,0.003952569169960475,0.007936507936507936,1.0603846361916552e-12,452.0,WOS:000220081800007; WOS:000239997100016; WOS:000264489600010,1.2
16,4,110.0,1.5809776765952063e-05,0.003952569169960474,0.009226190476190475,1.0871885045234146e-14,440.0,WOS:000230393100001; WOS:000233231800005; WOS:000170085400001; WOS:000267745600007,1.6
6,5,73.6,3.794346423828495e-05,0.003952569169960474,0.010430839002267572,1.3319109857529149e-17,368.0,WOS:000233683500004; WOS:000228808500011; WOS:000189357800001; WOS:000176795000007; WOS:000244146100003,2.0
19,3,122.66666666666667,0.0,0.003952569169960474,0.007936507936507936,1.8593017150514612e-14,368.0,WOS:000261892700002; WOS:000244866700002; WOS:000220796700002,1.2
32,2,177.0,0.0,0.003952569169960474,0.003968253968253968,3.8686657949227125e-11,354.0,WOS:000250860700015; WOS:000252002500005,0.8
9,4,87.5,3.161955353190413e-05,0.003952569169960473,0.00744047619047619,1.3935245664309525e-17,350.0,WOS:000242821000010; WOS:000255856700002; WOS:000258505500002; WOS:000253251200005,1.6
21,3,115.33333333333333,0.0,0.003952569169960473,0.007936507936507936,2.5184300094485016e-15,346.0,WOS:000232319300039; WOS:000177918300001; WOS:000225358100032,1.2
33,2,168.0,0.0,0.003952569169960474,0.003968253968253968,1.1729928548180133e-11,336.0,WOS:000254939900003; WOS:000258903200001,0.8
18,3,108.0,1.0539851177301375e-05,0.003952569169960473,0.006172839506172839,1.7201332753114265e-14,324.0,WOS:000256908200009; WOS:000252396500007; WOS:000247489500001,1.2
13,4,80.5,1.5809776765952063e-05,0.003952569169960474,0.009226190476190475,3.88895360660146e-18,322.0,WOS:000256491100005; WOS:000250235400004; WOS:000272116100003; WOS:000261916100004,1.6
15,4,80.0,1.5809776765952063e-05,0.003952569169960474,0.009226190476190475,2.512378513437341e-18,320.0,WOS:000258256800004; WOS:000232874200002; WOS:000236106000001; WOS:000252904100023,1.6
25,3,105.33333333333333,0.0,0.003952569169960475,0.007936507936507936,2.840590056755772e-16,316.0,WOS:000257248800002; WOS:000262668300006; WOS:000252828700003,1.2
22,3,98.66666666666667,0.0,0.003952569169960472,0.007936507936507936,8.677590311685919e-17,296.0,WOS:000250235400002; WOS:000270079800015; WOS:000253220900002,1.2
28,3,98.0,0.0,0.003952569169960474,0.007936507936507936,5.799319383622023e-17,294.0,WOS:000259673500087; WOS:000255456300086; WOS:000269789900008,1.2
26,3,97.33333333333333,0.0,0.003952569169960477,0.007936507936507936,4.7231605482101945e-17,292.0,WOS:000242181300011; WOS:000256679300009; WOS:000251616100011,1.2
20,3,91.33333333333333,1.0539851177301375e-05,0.003952569169960473,0.006172839506172839,1.0848578806696042e-16,274.0,WOS:000271122700004; WOS:000251118600001; WOS:000263295800008,1.2
34,2,135.0,0.0,0.003952569169960474,0.003968253968253968,7.930417527968957e-14,270.0,WOS:000240336000010; WOS:000266388600011,0.8
10,4,66.0,3.161955353190413e-05,0.003952569169960474,0.00744047619047619,1.1769054909317484e-19,264.0,WOS:000253655300002; WOS:000249745200012; WOS:000239780500003; WOS:000245215500010,1.6
12,4,65.0,2.3714665148928093e-05,0.003952569169960474,0.008333333333333331,1.249355143290868e-19,260.0,WOS:000273331300002; WOS:000249466500001; WOS:000271098400003; WOS:000246258600007,1.6
24,3,77.33333333333333,1.0539851177301375e-05,0.003952569169960473,0.006172839506172839,8.934493168486844e-19,232.0,WOS:000173652600004; WOS:000222815100002; WOS:000177393700018,1.2
35,2,110.0,0.0,0.003952569169960474,0.003968253968253968,7.418731830212084e-16,220.0,WOS:000186678000008; WOS:000267545000010,0.8
29,3,70.66666666666667,1.0539851177301375e-05,0.003952569169960473,0.006172839506172839,1.974936546833233e-19,212.0,WOS:000170517500002; WOS:000182278500017; WOS:000188663900001,1.2
36,2,98.0,0.0,0.003952569169960472,0.003968253968253968,5.339623506616899e-17,196.0,WOS:000264452800003; WOS:000265692500006,0.8
37,2,94.0,0.0,0.003952569169960474,0.003968253968253968,2.0679692763211256e-17,188.0,WOS:000251679300004; WOS:000257979000005,0.8
27,3,60.0,1.0539851177301375e-05,0.003952569169960474,0.006172839506172839,3.071450154272228e-21,180.0,WOS:000257910200001; WOS:000256211800004; WOS:000249425900011,1.2
30,3,58.666666666666664,1.0539851177301375e-05,0.003952569169960473,0.006172839506172839,1.9483418114995916e-21,176.0,WOS:000236765400008; WOS:000246490000006; WOS:000259037600012,1.2
38,2,85.0,0.0,0.003952569169960474,0.003968253968253968,2.095875780841465e-18,170.0,WOS:000240336000003; WOS:000266388600004,0.8
31,3,51.333333333333336,1.0539851177301375e-05,0.003952569169960475,0.006172839506172839,8.682246011833235e-23,154.0,WOS:000177157400021; WOS:000178287600006; WOS:000223117600008,1.2
39,2,77.0,0.0,0.003952569169960474,0.003968253968253968,2.2185898533413114e-19,154.0,WOS:000087649500017; WOS:000177171300017,0.8
40,2,75.0,0.0,0.003952569169960474,0.003968253968253968,1.2207135997628855e-19,150.0,WOS:000267776700011; WOS:000268026600011,0.8
41,2,73.0,0.0,0.003952569169960474,0.003968253968253968,6.610445276670807e-20,146.0,WOS:000263631700002; WOS:000265698500006,0.8
42,2,73.0,0.0,0.003952569169960474,0.003968253968253968,6.610445276670807e-20,146.0,WOS:000245612300002; WOS:000261094900002,0.8
43,2,71.0,0.0,0.003952569169960474,0.003968253968253968,3.520047941858904e-20,142.0,WOS:000261597400015; WOS:000267127900009,0.8
44,2,68.0,0.0,0.003952569169960474,0.003968253968253968,1.3226052659064149e-20,136.0,WOS:000260291400013; WOS:000271547900016,0.8
45,2,68.0,0.0,0.003952569169960474,0.003968253968253968,1.3226052659064149e-20,136.0,WOS:000240381200014; WOS:000260900100002,0.8
46,2,66.0,0.0,0.003952569169960474,0.003968253968253968,6.7239058339586706e-21,132.0,WOS:000246480000004; WOS:000253396900017,0.8
47,2,66.0,0.0,0.003952569169960474,0.003968253968253968,6.7239058339586706e-21,132.0,WOS:000243220300006; WOS:000252138400010,0.8
48,2,60.0,0.0,0.003952569169960474,0.003968253968253968,7.771187110381078e-22,120.0,WOS:000259721000004; WOS:000270199100003,0.8
49,2,58.0,0.0,0.003952569169960474,0.003968253968253968,3.60991875955764e-22,116.0,WOS:000245564000015; WOS:000249894400003,0.8
50,2,58.0,0.0,0.003952569169960474,0.003968253968253968,3.60991875955764e-22,116.0,WOS:000259506400006; WOS:000275598000006,0.8
51,2,57.0,0.0,0.003952569169960474,0.003968253968253968,2.436379925534982e-22,114.0,WOS:000251085800011; WOS:000254571000004,0.8
52,2,55.0,0.0,0.003952569169960474,0.003968253968253968,1.0869905830899058e-22,110.0,WOS:000259377800003; WOS:000268952100004,0.8
53,2,54.0,0.0,0.003952569169960474,0.003968253968253968,7.181960610567922e-23,108.0,WOS:000243674300002; WOS:000245565500013,0.8
54,2,51.0,0.0,0.003952569169960474,0.003968253968253968,1.9768697875241275e-23,102.0,WOS:000231240000002; WOS:000234894100004,0.8
55,2,51.0,0.0,0.003952569169960474,0.003968253968253968,1.9768697875241275e-23,102.0,WOS:000270457600068; WOS:000272592300034,0.8
56,2,49.0,0.0,0.003952569169960472,0.003968253968253968,8.020681303390767e-24,98.0,WOS:000252894700035; WOS:000256640500004,0.8
57,2,49.0,0.0,0.003952569169960472,0.003968253968253968,8.020681303390767e-24,98.0,WOS:000224370600003; WOS:000237268700005,0.8
58,2,48.0,0.0,0.003952569169960474,0.003968253968253968,5.039773297993916e-24,96.0,WOS:000221223000011; WOS:000223194500006,0.8
59,2,46.0,0.0,0.003952569169960474,0.003968253968253968,1.9326441347465495e-24,92.0,WOS:000250642500022; WOS:000260246400008,0.8
60,2,45.0,0.0,0.003952569169960474,0.003968253968253968,1.178504619523504e-24,90.0,WOS:000238665200010; WOS:000243784100015,0.8
61,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000265128900007; WOS:000317587300005,0.8
62,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000258493900001; WOS:000285752800039,0.8
63,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000237050100002; WOS:000243249200001,0.8
64,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000221409600001; WOS:000226663800059,0.8
