community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
0,20,74.2,0.0007575757575757575,0.007462686567164178,0.08632707875090576,0.1778794856088127,1484.0,"Danenberg, KD; Danenberg, PV; Brabender, J; Holscher, AH; Schneider, PM",14.9
3,10,45.6,0.00038733196627933474,0.0074626865671641755,0.04070130057912012,1.910542032989936e-06,456.0,"Cheng, L; Lopez-Beltran, A; Montironi, R; MacLennan, GT; Eble, JN",7.5
2,10,44.6,0.00031897926634768734,0.007462686567164177,0.04317311724100755,2.8417910713879165e-06,446.0,"Backman, V; Roy, HK; Liu, Y; Kim, YL; Wali, RK",7.5
4,8,51.25,0.00017088174982911824,0.007462686567164174,0.03817616959064327,6.966655187736086e-06,410.0,"Langen, KJ; Pauleit, D; Coenen, HH; Hamacher, K; Stoffels, G",6.0
1,11,22.727272727272727,0.0005696058327637275,0.007462686567164176,0.03956155261026326,1.0609438331870207e-10,250.0,"Ren, F; Linthicum, KJ; Pearton, SJ; Piner, EL; Johnson, JW",8.2
5,6,23.333333333333332,0.00017088174982911826,0.007462686567164176,0.024417329398532403,3.828088146675631e-12,140.0,"Stoehr, R; Hartmann, A; Denzinger, S; Burger, M; Knuechel, R",4.5
8,5,25.2,4.55684666210982e-05,0.0074626865671641755,0.025664160401002507,1.7915919349378813e-12,126.0,"Elsinga, PH; Jager, PL; Hoekstra, HJ; Suurmeijer, AJH; Cobben, DCP",3.7
6,5,22.8,0.0001139211665527455,0.007462686567164177,0.020909416398138203,8.99358175768283e-12,114.0,"Wolf, B; Brischwein, M; Grothe, H; Wiest, J; Ressler, J",3.7
9,4,24.5,0.0,0.007462686567164177,0.022556390977443608,5.325030411279572e-13,98.0,"Reske, SN; Glatting, G; Buck, AK; Neumaier, B",3.0
11,4,24.5,0.0,0.00746268656716418,0.022556390977443608,5.132473754796472e-13,98.0,"Fuchs, CS; Ogino, S; Kawasaki, T; Kirkner, GJ",3.0
7,5,16.8,0.0001367053998632946,0.007462686567164177,0.019649122807017545,8.784613586293322e-15,84.0,"Schwaiger, M; Grosu, AL; Weber, WA; Wester, HJ; Molls, M",3.7
13,4,20.0,5.696058327637275e-05,0.0074626865671641755,0.017481203007518795,1.3538297247554168e-13,80.0,"Hubschle, T; Gerstberger, R; Roth, J; Rummel, C",3.0
10,4,15.5,8.544087491455912e-05,0.007462686567164176,0.015789473684210523,3.220036928494962e-15,62.0,"Peters, GJ; Fukushima, M; Temmink, OH; de Bruin, M",3.0
14,3,17.333333333333332,0.0,0.007462686567164177,0.015037593984962405,2.314931604702134e-15,52.0,"Breit, SN; Brown, DA; Bauskin, AR",2.2
12,4,12.5,0.0001139211665527455,0.007462686567164176,0.014097744360902255,5.894408112031852e-17,50.0,"Chinnaiyan, AM; Tomlins, SA; Varambally, S; Shah, RB",3.0
16,3,14.0,0.0,0.007462686567164179,0.015037593984962405,6.173621303579569e-17,42.0,"Fong, WP; Ng, DKP; Lo, PC",2.2
15,3,9.333333333333334,3.7973722184248496e-05,0.007462686567164177,0.011695906432748537,2.629598860569674e-19,28.0,"Vetterl, V; Fojt, L; Strasak, L",2.2
17,3,9.333333333333334,3.7973722184248496e-05,0.007462686567164177,0.011695906432748537,2.629598860569674e-19,28.0,"Bossuyt, A; Lahoutte, T; Mertens, J",2.2
18,2,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,18.0,"Luheshi, GN; Poole, S",1.5
19,2,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,18.0,"Toncheva, G; Yoshizumi, TT",1.5
20,2,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,18.0,"Mishima, F; Nishijima, S",1.5
21,2,8.0,0.0,0.007462686567164179,0.007518796992481203,1.0449878534645851e-20,16.0,"Keku, TO; Sandler, RS",1.5
22,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Furumoto, S; Iwata, R",1.5
23,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Buck, A; Weber, B",1.5
24,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Tatsch, K; Tonn, JC",1.5
25,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Alam, MA; Nair, PR",1.5
26,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Lewis, JS; Welch, MJ",1.5
27,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Lieber, CM; Patolsky, F",1.5
28,2,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,14.0,"Liu, RS; Wang, HE",1.5
