source,target,weight
Cui Y_2001_SCIENCE,Zheng GF_2005_NAT BIOTECHNOL,192.0
Ahlbom A_2000_BRIT J CANCER,Greenland S_2000_EPIDEMIOLOGY,122.0
Patolsky F_2004_P NATL ACAD SCI USA,Zheng GF_2005_NAT BIOTECHNOL,90.0
Hahm J_2004_NANO LETT,Zheng GF_2005_NAT BIOTECHNOL,89.0
Cui Y_2001_SCIENCE,Hahm J_2004_NANO LETT,80.0
Weber WA_2000_EUR J NUCL MED,Wester HJ_1999_J NUCL MED,78.0
Cui Y_2001_SCIENCE,Patolsky F_2004_P NATL ACAD SCI USA,77.0
Cui Y_2001_SCIENCE,Stern E_2007_NATURE,69.0
Stern E_2007_NATURE,Zheng GF_2005_NAT BIOTECHNOL,67.0
Machulla HJ_2000_J RADIOANAL NUCL CH,Shields AF_1998_NAT MED,65.0
Wang WU_2005_P NATL ACAD SCI USA,Zheng GF_2005_NAT BIOTECHNOL,63.0
Heiss P_1999_J NUCL MED,Wester HJ_1999_J NUCL MED,63.0
Lapointe J_2004_P NATL ACAD SCI USA,Yu YP_2004_J CLIN ONCOL,59.0
Chen RJ_2003_P NATL ACAD SCI USA,Zheng GF_2005_NAT BIOTECHNOL,56.0
Heiss P_1999_J NUCL MED,Weber WA_2000_EUR J NUCL MED,54.0
Greenland S_2000_EPIDEMIOLOGY,WERTHEIMER N_1979_AM J EPIDEMIOL,54.0
Gibson UEM_1996_GENOME RES,Lord RVN_2000_J GASTROINTEST SURG,54.0
Heid CA_1996_GENOME RES,Lord RVN_2000_J GASTROINTEST SURG,53.0
Cui Y_2001_SCIENCE,Li Z_2004_NANO LETT,53.0
Li Z_2004_NANO LETT,Zheng GF_2005_NAT BIOTECHNOL,52.0
Ahlbom A_2000_BRIT J CANCER,WERTHEIMER N_1979_AM J EPIDEMIOL,52.0
Jager PL_2001_J NUCL MED,Weber WA_2000_EUR J NUCL MED,52.0
Lynch TJ_2004_NEW ENGL J MED,Paez JG_2004_SCIENCE,52.0
