source,target,weight
"Danenberg, KD","Danenberg, PV",48.0
"Lopez-Beltran, A","Montironi, R",23.0
"Backman, V","Liu, Y",22.0
"Cheng, L","Lopez-Beltran, A",22.0
"Brabender, J","Schneider, PM",22.0
"Brabender, J","Holscher, AH",21.0
"Coenen, HH","Langen, KJ",21.0
"Brabender, J","Metzger, R",21.0
"Cheng, L","Montironi, R",20.0
"Holscher, AH","Metzger, R",20.0
"Langen, KJ","Pauleit, D",20.0
"Hamacher, K","Langen, KJ",20.0
"Backman, V","Roy, HK",19.0
"Brabender, J","Danenberg, PV",19.0
"Brischwein, M","Wolf, B",19.0
"Holscher, AH","Schneider, PM",19.0
"Metzger, R","Schneider, PM",18.0
"Coenen, HH","Hamacher, K",18.0
"Brabender, J","Danenberg, KD",18.0
"Backman, V","Kim, YL",18.0
"Kim, YL","Liu, Y",17.0
"Hamacher, K","Pauleit, D",17.0
"Coenen, HH","Pauleit, D",16.0
"Danenberg, KD","Vallbohmer, D",16.0
"Danenberg, PV","Schneider, PM",15.0
"Danenberg, KD","Salonga, D",15.0
"Danenberg, KD","Kuramochi, H",15.0
"Danenberg, PV","Kuramochi, H",15.0
"Hartmann, A","Stoehr, R",15.0
"Danenberg, PV","Vallbohmer, D",15.0
"Liu, Y","Roy, HK",15.0
"Danenberg, PV","Salonga, D",14.0
"Danenberg, PV","Holscher, AH",14.0
"Danenberg, KD","Metzger, R",14.0
"Danenberg, KD","Schneider, PM",14.0
"Cheng, L","Eble, JN",14.0
"Danenberg, KD","Holscher, AH",14.0
"Danenberg, PV","Metzger, R",14.0
"Cheng, L","MacLennan, GT",13.0
"Langen, KJ","Stoffels, G",13.0
"Roy, HK","Wali, RK",13.0
"Fukushima, M","Peters, GJ",12.0
"Breit, SN","Brown, DA",12.0
"Cheng, L","Zhang, SB",12.0
"Kim, YL","Roy, HK",12.0
"Grothe, H","Wolf, B",12.0
"Pauleit, D","Stoffels, G",12.0
"Danenberg, PV","DeMeester, TR",12.0
"Cheng, L","Wang, MS",12.0
"Lopez-Beltran, A","MacLennan, GT",12.0
"Gerstberger, R","Roth, J",11.0
"Danenberg, KD","Uchida, K",11.0
"Danenberg, PV","Uchida, K",11.0
"Gerstberger, R","Hubschle, T",11.0
"DeMeester, TR","Peters, JH",11.0
"Hamacher, K","Stoffels, G",11.0
"Pearton, SJ","Ren, F",11.0
"Hubschle, T","Roth, J",11.0
"Brabender, J","Vallbohmer, D",11.0
"Danenberg, KD","DeMeester, TR",11.0
"Metzger, R","Vallbohmer, D",11.0
"Salonga, D","Schneider, PM",11.0
"Backman, V","Wali, RK",11.0
"Brabender, J","Salonga, D",11.0
"Liu, Y","Wali, RK",11.0
"Holscher, AH","Salonga, D",10.0
"Danenberg, KD","Peters, JH",10.0
"Metzger, R","Salonga, D",10.0
"Danenberg, PV","Shimizu, D",10.0
"Shimizu, D","Vallbohmer, D",10.0
"Danenberg, KD","Shimizu, D",10.0
"Peters, GJ","Temmink, OH",10.0
"Goldberg, MJ","Roy, HK",10.0
"Danenberg, KD","Lenz, HJ",10.0
"Danenberg, PV","Peters, JH",10.0
"Coenen, HH","Stoffels, G",10.0
"Chinnaiyan, AM","Tomlins, SA",10.0
"Kuramochi, H","Vallbohmer, D",10.0
"Danenberg, KD","Schneider, S",10.0
"Kuramochi, H","Shimizu, D",10.0
"Backman, V","Goldberg, MJ",10.0
"Holscher, AH","Vallbohmer, D",10.0
"Brischwein, M","Grothe, H",10.0
"Grosu, AL","Weber, WA",9.0
"Danenberg, KD","Park, JM",9.0
"Schwaiger, M","Weber, WA",9.0
"Glatting, G","Reske, SN",9.0
"Cheng, L","Jones, TD",9.0
"Mazzucchelli, R","Montironi, R",9.0
"Peters, GJ","de Bruin, M",9.0
"Neumaier, B","Reske, SN",9.0
"MacLennan, GT","Montironi, R",9.0
"Luheshi, GN","Poole, S",9.0
"Montironi, R","Scarpelli, M",9.0
"Schwaiger, M","Wester, HJ",9.0
"Backman, V","Li, X",9.0
"Fuchs, CS","Ogino, S",9.0
"Denzinger, S","Hartmann, A",9.0
"Toncheva, G","Yoshizumi, TT",9.0
"Danenberg, PV","Schneider, S",9.0
"Buck, AK","Reske, SN",9.0
