node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
"Danenberg, KD",18,249.0,0.01059466848940533,0.024975400221711377,0.1357142857142857,0.46151946527720444,0
"Danenberg, PV",16,228.0,0.004442925495557074,0.021202070910266987,0.12337662337662338,0.45810449467862896,0
"Brabender, J",9,138.0,0.0001139211665527455,0.012127933425534365,0.09359605911330049,0.34389903077808615,0
"Holscher, AH",9,123.0,0.0,0.010916646739338249,0.09359605911330049,0.30410196392413946,0
"Schneider, PM",8,115.0,0.0,0.010162122144124831,0.09047619047619046,0.29894702963356773,0
"Metzger, R",7,108.0,0.0,0.009521200254888878,0.08755760368663594,0.2923438260913327,0
"Backman, V",8,106.0,0.0021075415812257916,0.016897679062577553,0.06090225563909774,5.535812644997111e-06,2
"Cheng, L",7,102.0,0.0021645021645021645,0.015318871912249317,0.05536568694463431,3.7697536141853537e-06,3
"Langen, KJ",7,98.0,0.0013670539986329459,0.01377509106986967,0.05263157894736842,1.1327506329309018e-05,4
"Vallbohmer, D",8,91.0,0.0,0.008517523984011805,0.09047619047619046,0.23519482264185454,0
"Roy, HK",7,85.0,0.0010822510822510823,0.01336957636964762,0.05536568694463431,4.818026924661872e-06,2
"Pauleit, D",6,81.0,0.0,0.011375863541758359,0.046052631578947366,1.0130290558915457e-05,4
"Lopez-Beltran, A",5,73.0,0.0,0.01103438278114594,0.04684788895315211,3.3247668371764537e-06,3
"Coenen, HH",5,72.0,0.0,0.010021249723864643,0.04093567251461988,9.890167053121241e-06,4
"Salonga, D",6,71.0,0.0,0.006656555440388529,0.08482142857142856,0.2125502693950707,0
"Montironi, R",5,70.0,0.0017088174982911825,0.011942391242101337,0.04684788895315211,2.895809253729045e-06,3
"Hamacher, K",4,66.0,0.0,0.009001970537267766,0.03684210526315789,9.77691748468554e-06,4
"Liu, Y",4,65.0,0.0,0.009825480259479382,0.043501611170784105,4.75602144394739e-06,2
"Kuramochi, H",5,58.0,0.0,0.006139727001539138,0.08225108225108226,0.14470999190235775,0
"Ren, F",7,56.0,0.0033037138300296195,0.01753486496815284,0.0578368999421631,2.126219136833382e-10,1
"Kim, YL",4,56.0,0.0,0.008579144400055642,0.043501611170784105,4.2181044597848485e-06,2
"Wali, RK",5,51.0,0.0,0.008214051926091821,0.04684788895315211,3.447716309084628e-06,2
"MacLennan, GT",5,50.0,0.0,0.007797606369411355,0.04684788895315211,2.3038780826235535e-06,3
"Wolf, B",4,47.0,0.0005696058327637275,0.014880829316910737,0.03007518796992481,1.4400979848895643e-11,6
"Eble, JN",5,47.0,0.0,0.007356789633589745,0.04060150375939849,2.0117077197588863e-06,3
"Linthicum, KJ",6,46.0,0.0019366598313966734,0.014165683148966466,0.05012531328320802,1.9035674792422476e-10,1
"Stoffels, G",4,46.0,0.0,0.006563474296940299,0.03684210526315789,7.095850772731317e-06,4
"Wang, MS",5,43.0,0.0,0.007057579833461474,0.04060150375939849,1.6933480692932783e-06,3
"DeMeester, TR",4,42.0,0.0,0.005178675969338007,0.07983193277310924,0.09517155501450293,0
"Shimizu, D",4,40.0,0.0,0.0044577854478239165,0.07983193277310924,0.10473797536025425,0
"Peters, JH",4,39.0,0.0,0.004910858120321083,0.07983193277310924,0.08497177001493772,0
"Lord, RV",5,39.0,0.0,0.004156782713096306,0.08225108225108226,0.11665973434170857,0
"Stoehr, R",4,38.0,0.000455684666210982,0.011318573912426723,0.03132832080200501,6.004529413843597e-12,5
"Zhang, SB",4,37.0,0.0,0.0060252819432448255,0.03806390977443609,1.5322964504593372e-06,3
"Uchida, K",4,37.0,0.0,0.004423397507990466,0.07983193277310924,0.09513739001575142,0
"Pearton, SJ",4,35.0,0.0,0.010081597346386651,0.044228217602830605,1.927350160145293e-10,1
"Hartmann, A",3,33.0,0.0001139211665527455,0.00976506517747923,0.023496240601503758,5.706809633484396e-12,5
"Elsinga, PH",4,32.0,0.0001139211665527455,0.009294784731895293,0.03007518796992481,2.104847027260577e-12,8
"Jager, PL",4,32.0,0.0001139211665527455,0.009294784731895293,0.03007518796992481,2.104847027260577e-12,8
"Piner, EL",4,32.0,0.0,0.009271624753858043,0.044228217602830605,1.7783131948277426e-10,1
"Johnson, JW",4,32.0,0.0,0.009271624753858043,0.044228217602830605,1.7783131948277426e-10,1
"Peters, GJ",3,31.0,0.00034176349965823647,0.01430603135752185,0.022556390977443608,4.9785660495928285e-15,10
"Park, JM",4,31.0,0.0,0.003570050930023904,0.07983193277310924,0.09957357073614329,0
"Hubschle, T",3,29.0,0.000227842333105491,0.010675510544563517,0.022556390977443608,1.7029075198947484e-13,13
"Brischwein, M",2,29.0,0.0,0.008923488443271383,0.020050125313283207,1.2663670347047638e-11,6
"Reske, SN",3,27.0,0.0,0.008138120716135228,0.022556390977443608,5.711229293077343e-13,9
"Schneider, S",3,26.0,0.0,0.0033946923019871717,0.07755102040816325,0.07579409354723213,0
"Schwaiger, M",3,25.0,0.00034176349965823647,0.010719346361092693,0.02406015037593985,1.1716924908991584e-14,7
"Fuchs, CS",3,25.0,0.0,0.007596864961285587,0.022556390977443608,5.212649087942307e-13,11
"Ogino, S",3,25.0,0.0,0.007596864961285587,0.022556390977443608,5.212649087942307e-13,11
"Denzinger, S",3,25.0,0.0,0.00778781069860533,0.02685284640171858,4.451490217166166e-12,5
"Grosu, AL",3,24.0,0.00034176349965823647,0.010408720405391599,0.02406015037593985,1.1263710685772035e-14,7
"Glatting, G",3,24.0,0.0,0.007327180646894907,0.022556390977443608,5.251756014760159e-13,9
"Buck, AK",3,24.0,0.0,0.007327180646894908,0.022556390977443608,5.251756014760159e-13,9
"Kawasaki, T",3,24.0,0.0,0.007328508173042772,0.022556390977443608,5.052298421650636e-13,11
"Kirkner, GJ",3,24.0,0.0,0.007328508173042772,0.022556390977443608,5.052298421650636e-13,11
"Hoekstra, HJ",3,24.0,0.0,0.007073981157390993,0.02406015037593985,1.8185350374073164e-12,8
"Suurmeijer, AJH",3,24.0,0.0,0.007073981157390993,0.02406015037593985,1.8185350374073164e-12,8
"Neumaier, B",3,23.0,0.0,0.007058264258731666,0.022556390977443608,5.085380322520627e-13,9
"DeMeester, SR",3,23.0,0.0,0.003367407127482399,0.07142857142857142,0.03746045354401215,0
"Grothe, H",2,22.0,0.0,0.006964365315587048,0.020050125313283207,1.0123494633515333e-11,6
"Gerstberger, R",2,22.0,0.0,0.007932756234938198,0.016917293233082706,1.5942211403515828e-13,13
"Roth, J",2,22.0,0.0,0.007932756234938198,0.016917293233082706,1.5942211403515828e-13,13
"Burger, M",3,21.0,0.000455684666210982,0.007503813183734381,0.02685284640171858,2.782292499187861e-12,5
"Goldberg, MJ",2,20.0,0.0,0.0038113631883783085,0.03806390977443609,1.6214864725960398e-06,2
"Breit, SN",2,19.0,0.0,0.00809828612448778,0.015037593984962405,2.483345357866492e-15,14
"Brown, DA",2,19.0,0.0,0.00809828612448778,0.015037593984962405,2.483345357866492e-15,14
"Chinnaiyan, AM",2,18.0,0.000227842333105491,0.010341219638045365,0.016917293233082706,7.894749395108224e-17,12
"Weber, WA",2,18.0,0.0,0.0077173026327537085,0.020050125313283207,1.0764333805352696e-14,7
"Turzhitsky, V",2,18.0,0.0,0.0035421671680479407,0.03806390977443609,1.4593378253364356e-06,2
"Tomlins, SA",2,17.0,0.000227842333105491,0.009899287174881031,0.016917293233082706,7.464289991825977e-17,12
"Reifenberger, G",2,17.0,0.0,0.0031497142279157233,0.030701754385964914,2.7320723965704673e-06,4
"Jones, TD",2,16.0,0.0,0.0032448904717115,0.03383458646616541,7.35944473187909e-07,3
"Li, X",2,16.0,0.0,0.0037688702470879496,0.03582485625829279,8.667006270226469e-07,2
"Knuechel, R",2,16.0,0.0,0.00515537303159343,0.020885547201336674,3.329150544263459e-12,5
"Floeth, FW",2,16.0,0.0,0.003030236397207669,0.030701754385964914,2.5629506589067994e-06,4
"Taflove, A",2,15.0,0.0,0.003604953661281521,0.03582485625829279,7.885708201260923e-07,2
"Kang, BS",2,14.0,0.0010252904989747095,0.006158865303615727,0.03759398496240601,4.457347293642375e-11,1
"Bossuyt, A",2,14.0,0.0001139211665527455,0.010884358962343016,0.015037593984962405,3.2885955367522817e-19,17
"Vetterl, V",2,14.0,0.0001139211665527455,0.010884358962343016,0.015037593984962405,3.2885955367522817e-19,15
"Cobben, DCP",2,14.0,0.0,0.0045759010572483105,0.020050125313283207,1.11119554535362e-12,8
"Fong, WP",2,14.0,0.0,0.007462686567164179,0.015037593984962405,6.173621303579569e-17,16
"Ng, DKP",2,14.0,0.0,0.007462686567164179,0.015037593984962405,6.173621303579569e-17,16
"Floeth, F",2,14.0,0.0,0.0027838927424892624,0.030701754385964914,2.2174862476488443e-06,4
"Lo, PC",2,14.0,0.0,0.007462686567164179,0.015037593984962405,6.173621303579569e-17,16
"Bauskin, AR",2,14.0,0.0,0.0061914874525169725,0.015037593984962405,1.978104098373419e-15,14
"Kunte, DP",2,14.0,0.0,0.0030135793889940355,0.03383458646616541,9.061331863220996e-07,2
"Fukushima, M",1,12.0,0.0,0.005836760129298231,0.013533834586466164,3.058676773311105e-15,10
"Temmink, OH",1,10.0,0.0,0.005050533938594297,0.013533834586466164,2.5488973110925875e-15,10
"Lenz, HJ",1,10.0,0.0,0.0019719768882255047,0.07142857142857142,0.037197028953641936,0
"Mazzucchelli, R",1,9.0,0.0,0.002424535742363134,0.029001074113856065,4.18957914742771e-07,3
"de Bruin, M",1,9.0,0.0,0.004657420843242329,0.013533834586466164,2.2940075799833286e-15,10
"Luheshi, GN",1,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,18
